,iModulon,Gene
0,0,b0162
1,0,b1781
2,0,b1800
3,0,b2736
4,0,b2737
5,0,b2738
6,0,b2787
7,0,b2788
8,0,b2789
9,0,b3124
10,0,b3125
11,0,b3126
12,0,b3127
13,0,b3128
14,1,b0169
15,1,b0170
16,1,b1089
17,1,b1717
18,1,b2185
19,1,b2606
20,1,b2607
21,1,b2608
22,1,b2609
23,1,b3166
24,1,b3167
25,1,b3230
26,1,b3231
27,1,b3294
28,1,b3295
29,1,b3296
30,1,b3297
31,1,b3298
32,1,b3299
33,1,b3300
34,1,b3301
35,1,b3302
36,1,b3303
37,1,b3304
38,1,b3305
39,1,b3306
40,1,b3307
41,1,b3308
42,1,b3309
43,1,b3310
44,1,b3311
45,1,b3312
46,1,b3313
47,1,b3314
48,1,b3315
49,1,b3316
50,1,b3317
51,1,b3318
52,1,b3319
53,1,b3320
54,1,b3321
55,1,b3340
56,1,b3341
57,1,b3342
58,1,b3983
59,1,b3984
60,1,b3985
61,1,b3986
62,1,b3988
63,1,b4200
64,1,b4201
65,1,b4202
66,1,b4203
67,2,b1571
68,2,b4559
69,2,b4610
70,3,b0006
71,3,b0315
72,3,b0475
73,3,b0605
74,3,b0606
75,3,b0683
76,3,b0812
77,3,b0849
78,3,b0850
79,3,b0881
80,3,b0882
81,3,b0888
82,3,b1619
83,3,b1661
84,3,b1663
85,3,b1680
86,3,b1681
87,3,b1682
88,3,b1683
89,3,b1684
90,3,b1749
91,3,b1823
92,3,b1824
93,3,b2152
94,3,b2436
95,3,b2558
96,3,b2582
97,3,b2583
98,3,b2731
99,3,b3070
100,3,b3424
101,3,b3425
102,3,b3518
103,3,b3519
104,3,b3942
105,3,b3943
106,3,b3961
107,3,b4367
108,4,b1070
109,4,b1071
110,4,b1072
111,4,b1073
112,4,b1074
113,4,b1075
114,4,b1076
115,4,b1077
116,4,b1078
117,4,b1079
118,4,b1080
119,4,b1081
120,4,b1082
121,4,b1083
122,4,b1742
123,4,b1760
124,4,b1878
125,4,b1879
126,4,b1880
127,4,b1886
128,4,b1891
129,4,b1892
130,4,b1904
131,4,b1921
132,4,b1922
133,4,b1924
134,4,b1925
135,4,b1926
136,4,b1937
137,4,b1938
138,4,b1939
139,4,b1940
140,4,b1941
141,4,b1942
142,4,b1943
143,4,b1944
144,4,b1945
145,4,b1946
146,4,b1947
147,4,b1948
148,4,b1949
149,4,b1950
150,4,b4355
151,5,b2677
152,5,b2678
153,5,b2679
154,5,b2681
155,6,b0654
156,6,b0809
157,6,b0810
158,6,b0811
159,6,b2309
160,6,b2310
161,6,b3744
162,6,b3869
163,6,b3870
164,7,b0002
165,7,b2838
166,7,b3221
167,7,b3222
168,7,b3223
169,7,b3224
170,7,b3225
171,7,b4116
172,7,b4279
173,7,b4280
174,7,b4309
175,7,b4310
176,7,b4311
177,8,b0989
178,8,b4755
179,9,b0372
180,9,b0541
181,9,b0543
182,9,b0544
183,9,b0545
184,9,b0546
185,9,b1026
186,9,b1027
187,9,b4733
188,10,b0610
189,10,b1596
190,10,b2214
191,10,b2510
192,10,b2698
193,10,b2774
194,10,b2792
195,10,b3066
196,10,b3181
197,10,b3183
198,10,b3184
199,10,b3819
200,10,b4011
201,10,b4026
202,10,b4176
203,11,b2019
204,11,b2020
205,11,b2021
206,11,b2022
207,11,b2023
208,11,b2024
209,11,b2025
210,11,b2026
211,11,b4388
212,12,b0005
213,12,b0220
214,12,b0379
215,12,b0412
216,12,b0608
217,12,b0753
218,12,b1110
219,12,b1171
220,12,b1172
221,12,b1283
222,12,b1379
223,12,b1414
224,12,b1481
225,12,b1536
226,12,b1537
227,12,b1639
228,12,b1743
229,12,b1951
230,12,b2086
231,12,b2390
232,12,b2466
233,12,b2671
234,12,b2753
235,12,b2809
236,12,b2833
237,12,b2922
238,12,b2936
239,12,b2943
240,12,b3055
