geneid,Reference
b0001,10.3728331
b0002,10.31456227
b0003,9.982250596
b0004,9.973666136
b0005,7.132481795
b0006,6.494941138
b0007,2.988554875
b0008,10.68361468
b0009,5.96421628
b0010,4.716846258
b0011,1.903270928
b0012,0.299486482
b0013,1.190337193
b0014,9.570579221
b0015,7.577533457
b0016,5.894102691
b0018,3.499248271
b0019,5.696406596
b0020,5.816477109
b0021,1.605121029
b0022,4.34065883
b0023,12.09410992
b0024,3.395452755
b0025,8.17262829
b0026,8.937167416
b0027,7.637783303
b0028,7.320309599
b0029,6.93748537
b0030,4.457594745
b0031,8.449814807
b0032,10.21556431
b0033,9.865357505
b0034,5.725698242
b0035,2.270286447
b0036,1.126332969
b0037,3.008607384
b0038,2.526906931
b0039,3.370784767
b0040,0.80062966
b0041,1.546337327
b0042,1.159477227
b0043,1.048258925
b0044,1.056453947
b0045,0.552823226
b0046,4.842012191
b0047,4.497581779
b0048,6.73391294
b0049,6.333688365
b0050,6.945484136
b0051,7.720544258
b0052,7.476204784
b0053,8.681452363
b0054,8.575389493
b0055,5.764138332
b0056,5.412594026
b0057,5.470668901
b0058,5.599118105
b0059,6.228164242
b0060,4.142933278
b0061,2.086546244
b0062,2.076401756
b0063,1.745985316
b0064,5.310448717
b0065,4.458300622
b0066,5.138343676
b0067,5.12491422
b0068,7.643317257
b0069,4.981998971
b0070,4.062106408
b0071,9.969492493
b0072,9.92226113
b0073,9.715227357
b0074,9.287032196
b0075,9.421490119
b0076,2.694797965
b0077,8.172370361
b0078,7.767715782
b0080,7.274693064
b0081,7.752286837
b0082,7.41440184
b0083,7.256369088
b0084,6.60873337
b0085,7.122982189
b0086,7.063240721
b0087,6.535361276
b0088,6.943873889
b0089,6.355992297
b0090,6.563384166
b0091,6.971718979
b0092,7.234280321
b0093,7.163641566
b0094,7.009142279
b0095,9.265014073
b0096,9.707765203
b0097,8.89028317
b0098,7.651831151
b0099,4.503869365
b0101,6.748642904
b0102,6.909403718
b0103,6.769884246
b0104,8.861468355
b0106,2.326886012
b0107,2.62730734
b0108,0.871956041
b0109,6.928161329
b0110,5.794527153
b0111,4.99614032
b0112,9.344151151
