Geneid,DDB_0234,DDB_0235,DDB_0236,DDB_0237,DDB_0238,DDB_0239,DDB_0240,DDB_0241,DDB_0242,DDB_0243,DDB_0244,DDB_0245,DDB_0246,DDB_0247,DDB_0248,DDB_0249,DDB_0250,DDB_0251,DDB_0252,DDB_0253,DDB_0254,DDB_0255,DDB_0311,DDB_0312,DDB_0313,DDB_0314,DDB_0315,DDB_0316,DDB_0317,DDB_0318,DDB_0319,DDB_0320,DDB_0321,DDB_0322,DDB_0323,DDB_0324,DDB_0325,DDB_0326,DDB_0327,DDB_0328,DDB_0329,DDB_0330,DDB_0331,DDB_0332,DDB_0333
b0002,9.448933228,9.509896149,8.821175125,8.856159317,9.29978896,8.76073352,8.921735888,9.467969025,9.398685159,8.792082744,8.909246448,9.650885903,9.402727772,9.432456242,8.852075968,9.044128767,9.388479945,7.894592416,7.945973707,9.432965205,9.530945463,7.985916071,8.906589781,6.153486332,8.277634766,8.514681509,8.922651963,8.732911117,8.215543337,8.140797402,8.920033521,9.254554529,8.316064342,8.430893947,9.383904998,9.31250329,8.786304455,8.727300152,9.361091262,8.804128664,9.320209059,9.312403866,9.094473204,8.453848917,8.572582867
b0003,8.717789138,8.741307154,8.210023091,8.392684736,8.639558557,8.276988561,8.501638484,8.503804701,8.512454202,8.284217473,8.423837742,8.843549084,8.692922162,8.982694232,8.419464227,8.499379597,8.954949678,7.476602902,7.50044915,8.874664677,8.994930116,7.568857452,8.151406763,5.48784704,7.497386844,7.738672457,8.191616126,8.121518521,7.671126871,7.683538972,8.167708462,8.493284407,7.858824716,7.820175425,8.770395816,8.712658432,8.193780676,8.208010728,8.303766958,8.077939763,9.307620528,8.744098372,8.122025528,8.059970945,7.537549979
b0004,9.813929873,9.787557592,8.674743346,8.715598393,9.632973566,8.579255642,8.740201947,9.680539458,9.639737699,8.647407762,8.713346634,10.04577145,9.513126083,9.293963631,8.63289204,9.052422683,9.256987417,8.022046722,7.983149497,9.284942002,9.390147866,8.039595638,9.257856727,7.495318076,8.456477363,8.732426481,9.371078811,9.046760826,8.420401881,8.451012433,9.286344655,9.346456231,8.735509031,8.709961853,9.39170268,9.468116514,8.992828961,8.939314939,9.358474883,9.289252376,10.23434192,9.343875032,9.215066853,8.691976645,8.927409875
b0005,3.906063851,4.192713027,3.975149346,3.182963701,3.687471603,4.008138654,3.692331991,3.769685217,4.098399335,3.823767075,4.137203387,3.993841809,3.456295642,5.074500784,3.787124438,4.184043427,5.161931995,2.986283265,2.81577127,4.840140434,5.169376583,3.498164185,3.882984114,1.320862805,1.861432852,3.508817999,3.250503676,4.419966233,2.732175277,3.095370953,4.518214472,4.452484687,1.782680634,3.217850186,4.044275476,4.108045679,3.408921029,3.182574258,4.213782175,4.219267433,5.284285233,4.025760945,3.975770541,2.613879881,2.062003757
b0006,6.663616404,6.576672598,5.705934494,5.762555825,6.693161953,5.753884376,5.513441712,6.848047467,6.69703162,5.630171129,5.830843376,6.630123276,6.531667475,5.783233918,5.929762402,6.233490728,6.264942625,5.801870281,5.762190193,6.27951539,6.288536557,5.884302181,6.773428062,6.445997853,6.152452558,5.867092697,6.686590763,6.764725314,5.848907545,5.806330403,6.70626148,6.397275181,5.861480637,5.720261503,6.541547275,6.491830077,5.736715489,5.789629325,6.629908461,5.730970547,5.645177692,6.375172654,6.509502194,5.705965824,5.778615009
b0007,3.451566393,3.332703997,3.099037343,2.865920562,3.579048951,3.070886365,3.272629341,3.368353132,3.747812088,2.953834768,2.979850911,3.375269156,3.145791697,3.175099283,3.454991297,3.931698535,3.640576582,3.467257332,3.207759686,3.324210658,3.146736783,2.948256116,3.553157397,3.608071086,3.388828175,3.127357084,2.991472775,5.146151527,3.246936487,3.195544449,4.301464712,3.198102333,3.166419573,3.171377976,2.894022057,3.601222669,2.91368133,2.769682018,4.196086208,2.473576573,2.685905816,3.479452403,3.046581617,3.158858617,3.133788334
b0008,10.29093383,10.34533544,10.27761607,10.27517964,10.29927562,10.14348566,10.26842572,10.33448583,10.31235534,10.2203738,10.28906274,10.52739451,10.32389088,10.37119507,10.1750282,10.00986023,9.960699065,10.00497016,9.989104619,9.99810793,10.05448651,10.05920444,10.20121336,9.737007536,10.01796752,10.03648819,10.14887942,10.02855069,10.0168537,9.981237888,10.00975155,10.14336128,9.988863162,9.971629507,10.1790132,10.22310973,10.08446009,10.10291554,10.20513879,10.195246,10.14585922,10.1764902,10.20995079,10.03264026,10.17608304
b0009,5.83271491,5.980656582,5.832028495,5.313965204,5.769295492,5.853506957,5.655360275,5.860516383,5.901460377,5.879460925,5.57202134,5.834972502,5.331342175,6.045441615,5.557149303,5.535521588,5.294923285,5.657905924,5.593805976,5.878873088,5.936813768,5.718375181,5.813640405,5.488316311,5.85196316,5.687564975,5.559925929,5.850250895,5.776477317,6.035647283,5.605345653,5.8120131,5.866020627,5.882176405,5.920836207,6.009042659,5.807477866,5.964694091,6.142439214,6.159826274,6.249088736,6.035811177,5.816328388,5.988294494,5.860553813
b0010,4.68959425,4.53563719,4.719514885,4.632976375,4.749270417,5.059044553,4.982446516,4.837212441,4.866036284,4.896765143,4.706753578,4.22097903,4.602729821,4.180022056,4.613291716,5.687182064,4.955335036,4.575928597,4.615081005,4.758300864,4.42150401,4.603691572,4.97875019,5.134899585,4.814095231,4.96163957,4.505353422,4.75779791,4.898576582,4.831028687,4.73376256,4.895728045,4.879959614,4.98658586,4.486932433,4.581849135,4.785224978,4.694549813,4.155551795,4.337662747,4.43127377,4.614152619,4.565008719,4.721496635,4.871768929
b0011,1.360033232,1.572355956,1.858123598,2.379107654,1.128537339,2.617262687,2.312965341,1.210618727,1.694400559,2.374662619,2.486031108,1.185283956,1.026752025,1.916702168,1.873118509,1.677386604,1.434598412,2.289354061,2.408091267,2.485303614,2.268199314,2.270574693,2.561620488,1.804354273,1.498696716,2.050013096,1.124940587,4.810269324,2.35301638,1.865333604,3.56911617,1.316112746,2.016383486,2.155160648,1.570409772,2.877263929,1.670404585,1.913659126,2.924117726,1.23062274,2.266752133,2.554722191,1.543596949,2.040403845,1.864704957
