precise_ID,sample_id,study,project,condition,rep_id,Biological Replicates,run_date,Strain Description,Strain,Base Media,Carbon Source (g/L),Nitrogen Source (g/L),Electron Acceptor,Trace Element Mixture,Supplement,Temperature (C),pH,Antibiotic for selection,Culture Type,Time in phase [h],Growth Rate (1/hr),CTR [mol/h],D-glucose consumed [cmol],OD [-],base volume [ml],citrate [mmol/L],pyruvate [mmol/L],succinate [mmol/L],formate [mmol/L],lactate [mmol/L],ethanol [mmol/L],Evolved Sample,Isolate Type,Sequencing Machine,Additional Details,DOI,GEO,Published,SRX,Run,LibraryLayout,Platform,passed_fastqc,passed_pct_reads_mapped,passed_reads_mapped_to_CDS,passed_global_correlation,full_name,passed_replicate_correlations
DDB_0234,DDB_PD_036_AMBR_R13_S02_RNA_seq,DDB_PD_036,ddb_pd_036,[DDB_PD_036]_[DDB35_ZnCtrl]_[Batch]_[0h],1,2,24/04/2021,Escherichia coli K-12 BW25113 del-fhuA,DDB35,DDB_BM_002,glucose(4),NH4Cl(1),O2,DDB_TM_002,,30,6.5,,Batch,0,0.563,0.00046,0,1.996,1.18,0,127.773,0,0,0,0,,,,,,,,,,PAIRED,ILLUMINA,TRUE,TRUE,TRUE,TRUE,ddb_pd_036:[DDB_PD_036]_[DDB35_ZnCtrl]_[Batch]_[0h],TRUE
DDB_0235,DDB_PD_036_AMBR_R14_S02_RNA_seq,DDB_PD_036,ddb_pd_036,[DDB_PD_036]_[DDB35_ZnCtrl]_[Batch]_[0h],2,2,24/04/2021,Escherichia coli K-12 BW25113 del-fhuA,DDB35,DDB_BM_002,glucose(4),NH4Cl(1),O2,DDB_TM_002,,30,6.5,,Batch,0,0.476,0.00058,0,2.33,1.6,0,165.339,0,0,0,0,,,,,,,,,,PAIRED,ILLUMINA,TRUE,TRUE,TRUE,TRUE,ddb_pd_036:[DDB_PD_036]_[DDB35_ZnCtrl]_[Batch]_[0h],TRUE
DDB_0236,DDB_PD_036_AMBR_R13_S10_RNA_seq,DDB_PD_036,ddb_pd_036,[DDB_PD_036]_[DDB35_ZnCtrl]_[Fed-batch]_[16h],1,2,24/04/2021,Escherichia coli K-12 BW25113 del-fhuA,DDB35,DDB_BM_002,glucose(4),NH4Cl(1),O2,DDB_TM_002,,30,6.5,,Fed-batch,16,0.123,0.01816,0.40604,168.2,12.82,0,57.827,0,0,0,0,,,,,,,,,,PAIRED,ILLUMINA,TRUE,TRUE,TRUE,TRUE,ddb_pd_036:[DDB_PD_036]_[DDB35_ZnCtrl]_[Fed-batch]_[16h],TRUE
DDB_0237,DDB_PD_036_AMBR_R14_S10_RNA_seq,DDB_PD_036,ddb_pd_036,[DDB_PD_036]_[DDB35_ZnCtrl]_[Fed-batch]_[16h],2,2,24/04/2021,Escherichia coli K-12 BW25113 del-fhuA,DDB35,DDB_BM_002,glucose(4),NH4Cl(1),O2,DDB_TM_002,,30,6.5,,Fed-batch,16,0.107,0.01954,0.41451,173.3,12.68,0,54.646,0,0,0,0,,,,,,,,,,PAIRED,ILLUMINA,TRUE,TRUE,TRUE,TRUE,ddb_pd_036:[DDB_PD_036]_[DDB35_ZnCtrl]_[Fed-batch]_[16h],TRUE
DDB_0238,DDB_PD_036_AMBR_R15_S02_RNA_seq,DDB_PD_036,ddb_pd_036,[DDB_PD_036]_[SDT107_ZnCtrl]_[Batch]_[0h],1,1,24/04/2021,Escherichia coli K-12 BW25113 del-fhuA del-zur,SDT107,DDB_BM_002,glucose(4),NH4Cl(1),O2,DDB_TM_002,,30,6.5,,Batch,0,0.543,0.00043,0,2.1,1.09,0,166.643,0,0,0,0,,,,,,,,,,PAIRED,ILLUMINA,TRUE,TRUE,TRUE,TRUE,ddb_pd_036:[DDB_PD_036]_[SDT107_ZnCtrl]_[Batch]_[0h],FALSE
DDB_0239,DDB_PD_036_AMBR_R15_S10_RNA_seq,DDB_PD_036,ddb_pd_036,[DDB_PD_036]_[SDT107_ZnCtrl]_[Fed-batch]_[16h],1,2,24/04/2021,Escherichia coli K-12 BW25113 del-fhuA del-zur,SDT107,DDB_BM_002,glucose(4),NH4Cl(1),O2,DDB_TM_002,,30,6.5,,Fed-batch,16,0.109,0.01716,0.41374,177,12.32,0,54.318,0,0,0,0,,,,,,,,,,PAIRED,ILLUMINA,TRUE,FALSE,TRUE,TRUE,ddb_pd_036:[DDB_PD_036]_[SDT107_ZnCtrl]_[Fed-batch]_[16h],TRUE
DDB_0240,DDB_PD_036_AMBR_R16_S10_RNA_seq,DDB_PD_036,ddb_pd_036,[DDB_PD_036]_[SDT107_ZnCtrl]_[Fed-batch]_[16h],2,2,24/04/2021,Escherichia coli K-12 BW25113 del-fhuA del-zur,SDT107,DDB_BM_002,glucose(4),NH4Cl(1),O2,DDB_TM_002,,30,6.5,,Fed-batch,16,0.119,0.01806,0.41183,168.2,12.09,0,54.003,0,0,0,0,,,,,,,,,,PAIRED,ILLUMINA,TRUE,TRUE,TRUE,TRUE,ddb_pd_036:[DDB_PD_036]_[SDT107_ZnCtrl]_[Fed-batch]_[16h],TRUE
DDB_0241,DDB_PD_036_AMBR_R17_S02_RNA_seq,DDB_PD_036,ddb_pd_036,[DDB_PD_036]_[DDB35_ZnHigh]_[Batch]_[0h],1,2,24/04/2021,Escherichia coli K-12 BW25113 del-fhuA,DDB35,DDB_BM_002,glucose(4),NH4Cl(1),O2,DDB_TM_002,,30,6.5,,Batch,0,0.487,0.00054,0,2.104,1.29,0,146.801,0,0,0,0,,,,,,,,,,PAIRED,ILLUMINA,TRUE,TRUE,TRUE,TRUE,ddb_pd_036:[DDB_PD_036]_[DDB35_ZnHigh]_[Batch]_[0h],TRUE
DDB_0242,DDB_PD_036_AMBR_R18_S02_RNA_seq,DDB_PD_036,ddb_pd_036,[DDB_PD_036]_[DDB35_ZnHigh]_[Batch]_[0h],2,2,24/04/2021,Escherichia coli K-12 BW25113 del-fhuA,DDB35,DDB_BM_002,glucose(4),NH4Cl(1),O2,DDB_TM_002,,30,6.5,,Batch,0,0.537,0.00049,0,2.066,1.69,0,155.769,0,0,0,0,,,,,,,,,,PAIRED,ILLUMINA,TRUE,TRUE,TRUE,TRUE,ddb_pd_036:[DDB_PD_036]_[DDB35_ZnHigh]_[Batch]_[0h],TRUE
DDB_0243,DDB_PD_036_AMBR_R17_S10_RNA_seq,DDB_PD_036,ddb_pd_036,[DDB_PD_036]_[DDB35_ZnHigh]_[Fed-batch]_[16h],1,2,24/04/2021,Escherichia coli K-12 BW25113 del-fhuA,DDB35,DDB_BM_002,glucose(4),NH4Cl(1),O2,DDB_TM_002,,30,6.5,,Fed-batch,16,0.106,0.01904,0.40935,169.7,12.63,0,16.265,0,0,0,0,,,,,,,,,,PAIRED,ILLUMINA,TRUE,FALSE,TRUE,TRUE,ddb_pd_036:[DDB_PD_036]_[DDB35_ZnHigh]_[Fed-batch]_[16h],TRUE
DDB_0244,DDB_PD_036_AMBR_R18_S10_RNA_seq,DDB_PD_036,ddb_pd_036,[DDB_PD_036]_[DDB35_ZnHigh]_[Fed-batch]_[16h],2,2,24/04/2021,Escherichia coli K-12 BW25113 del-fhuA,DDB35,DDB_BM_002,glucose(4),NH4Cl(1),O2,DDB_TM_002,,30,6.5,,Fed-batch,16,0.109,0.0195,0.4141,178.8,13.1,0,53.977,0,0,0,0,,,,,,,,,,PAIRED,ILLUMINA,TRUE,TRUE,TRUE,TRUE,ddb_pd_036:[DDB_PD_036]_[DDB35_ZnHigh]_[Fed-batch]_[16h],TRUE
