Geneid,PD_117_R11_S05#,PD_117_R12_S05#,PD_117_R13_S05#,PD_117_R5_S05#1,PD_117_R6_S05#1,PD_117_R7_S05#1,PD_121_R11_S05#,PD_121_R13_S05#,PD_121_R15_S05#,PD_121_R5_S05#2,PD_121_R7_S05#2,PD_121_R9_S05#2,PD_122_R11_S05#,PD_122_R13_S05#,PD_122_R15_S05#,PD_122_R5_S05#2,PD_122_R7_S05#2,PD_122_R9_S05#2,PD_123_R11_S05#,PD_123_R13_S05#,PD_123_R5_S05#1,PD_123_R7_S05#1,PD_123_R9_S05#1
b0001,10.26882575,10.23332922,9.989377586,11.05267315,10.98991167,11.09229917,10.81736824,10.55144522,11.12273159,12.79731365,12.56740859,10.62475312,11.19290878,10.572,11.59927229,12.51807197,11.52580878,10.64051186,11.45829658,10.08549946,11.54625159,10.54735421,11.10975617
b0002,9.522497476,9.117752658,9.139082699,7.754346515,7.821709136,7.905214671,8.149490383,7.571751717,7.939145318,7.442674478,7.127700664,8.151259066,8.181164868,7.619234129,7.742226167,7.450285538,7.081872576,8.219872814,8.198950458,7.73295318,7.723272729,7.555798226,8.184394752
b0003,9.083923123,8.782278423,8.742474048,7.602189178,7.711154599,7.781399296,7.991726598,7.738916257,7.68308306,7.578275871,7.696793989,7.968703727,7.873566701,7.909355568,7.472492689,7.548537202,7.684911564,8.038398969,7.915476426,7.802649059,7.64419697,7.675395232,7.931423911
b0004,8.404835019,8.363498084,8.21547754,7.274508822,7.244816158,7.338556245,7.627757989,7.406188661,7.247001756,7.167143841,7.338941089,7.694199534,7.549146074,7.302630062,7.015931328,7.179748093,7.307277462,7.653090666,7.717659487,7.34847808,7.25530958,7.229710325,7.605211422
b0005,5.696586367,5.560235618,5.819425116,3.851236801,4.256504076,3.998828369,6.012667043,3.841057402,4.596360165,4.125691801,4.485209893,4.84252978,6.084625515,3.918486651,4.54330507,3.935906061,4.613781052,5.011440415,5.964757823,4.239501366,3.685819918,4.06794041,4.822041597
b0006,5.493464567,5.609610807,5.431792242,5.570776895,5.525340287,5.7217502,6.195407309,5.572994703,6.31819917,5.687936763,5.478339047,5.685713405,6.141693717,5.472386512,6.365907636,5.67312819,5.392359322,5.506800347,6.075867211,5.638876135,5.781324205,5.513346237,5.685593
b0007,3.857562712,3.733863477,3.795602976,3.525132115,3.671381204,3.816356525,2.887216561,3.640465145,3.937385561,3.663890468,3.670888766,3.776561274,3.172625649,3.808661313,3.879440287,3.440187429,3.469560682,3.734761605,2.952509666,3.745770599,3.72209957,3.743288566,3.987173528
b0008,10.53975101,10.60048458,10.58642568,9.907968956,9.900071306,9.929520418,10.59064502,9.511850208,10.05658481,9.70847742,9.432357364,9.931494054,10.63339487,9.445566289,9.998880123,9.86717318,9.468825046,9.875917387,10.62558837,9.4777656,9.844617284,9.624622395,9.770066229
b0009,5.763715366,5.876281859,5.78466559,5.102582811,5.143399906,5.247656894,5.362229182,5.479852797,5.232146547,5.012753154,5.340722746,5.348798987,5.386270867,5.543757655,4.950235213,4.995480105,5.279097962,5.224867993,5.347894496,5.511436293,5.026070445,5.401003753,5.272113973
b0010,5.919390762,5.818085279,5.658988863,6.010570308,5.994719825,5.840096896,5.134550775,5.956520492,6.227543725,6.231366744,6.23134263,5.778654129,5.408923256,5.939165744,6.511300056,6.010130571,6.132434015,5.584733877,5.38764599,5.686877615,5.82786677,5.737971226,5.688268483
b0011,2.784861686,2.888248053,2.866486706,2.744983606,2.764639958,2.570517492,2.350016686,2.923136424,2.8935446,2.802011525,2.879184783,2.423558158,2.583940135,2.705192811,2.401767419,2.687929843,2.900805228,2.62674211,2.460324322,2.612574604,2.654968035,2.648871143,2.220755867
b0012,0.669174405,0.848536852,0.657930391,0.597452123,0.226873313,0.428262931,0.662363833,1.337710557,0,0.630917731,0.951572853,0.439633092,0.673637188,0.427800609,1.262301482,0.63968234,0.828432888,0.234934243,0.474236753,0.423994323,0.771997554,0.75568988,0.780064627
