,sample_id,study,project,condition,rep_id,Strain Description,Strain,Culture Type,Evolved Sample,Base Media,Temperature (C),pH,Carbon Source (g/L),Nitrogen Source (g/L),Electron Acceptor,Trace Element Mixture,Supplement,Antibiotic for selection,Growth Rate (1/hr),Isolate Type,Additional Details,project_reference,Sequencing Machine,LibraryLayout,Platform,Biological Replicates,doi,GEO,SRX,Run,R1,R2,contact,creator,passed_fastqc,passed_pct_reads_mapped,passed_reads_mapped_to_CDS,passed_global_correlation,full_name,passed_similar_replicates,passed_number_replicates,run_date,n_replicates,data_source
PD_117_R11_S05#,PD_117_R11_S05#,DDB feast-famine scale-down,ddb_ff_sd,HMP3071 C-lim,1,Escherichia coli K-12 BW25113 FolE(T198I) YnbB(V197A) del_TnaA del_TrpR::P2-ckDDC obgE(E350A) del_yddG::PJ23101-sgAANAT(D63G) del_PfolE::PJ23100 del_ldhA::PJ23101-sgAANAT(D63G) del_cytR::P2-ckDDC trpE(S40F) del_fhuA,HMP3071,Fed-batch,No,DDB_BM_016,30,6.5,glucose,NH4OH,O2,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,ddb_sd
PD_117_R12_S05#,PD_117_R12_S05#,DDB feast-famine scale-down,ddb_ff_sd,HMP3071 C-lim,2,Escherichia coli K-12 BW25113 FolE(T198I) YnbB(V197A) del_TnaA del_TrpR::P2-ckDDC obgE(E350A) del_yddG::PJ23101-sgAANAT(D63G) del_PfolE::PJ23100 del_ldhA::PJ23101-sgAANAT(D63G) del_cytR::P2-ckDDC trpE(S40F) del_fhuA,HMP3071,Fed-batch,No,DDB_BM_016,30,6.5,glucose,NH4OH,O2,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,ddb_sd
PD_117_R13_S05#,PD_117_R13_S05#,DDB feast-famine scale-down,ddb_ff_sd,HMP3071 C-lim,3,Escherichia coli K-12 BW25113 FolE(T198I) YnbB(V197A) del_TnaA del_TrpR::P2-ckDDC obgE(E350A) del_yddG::PJ23101-sgAANAT(D63G) del_PfolE::PJ23100 del_ldhA::PJ23101-sgAANAT(D63G) del_cytR::P2-ckDDC trpE(S40F) del_fhuA,HMP3071,Fed-batch,No,DDB_BM_016,30,6.5,glucose,NH4OH,O2,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,ddb_sd
PD_117_R5_S05#1,PD_117_R5_S05#1,DDB feast-famine scale-down,ddb_ff_sd,DDB35 C-lim,1,Escherichia coli K-12 BW25113 del_fhuA,DDB35,Fed-batch,No,DDB_BM_016,30,6.5,glucose,NH4OH,O2,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,ddb_sd
PD_117_R6_S05#1,PD_117_R6_S05#1,DDB feast-famine scale-down,ddb_ff_sd,DDB35 C-lim,2,Escherichia coli K-12 BW25113 del_fhuA,DDB35,Fed-batch,No,DDB_BM_016,30,6.5,glucose,NH4OH,O2,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,ddb_sd
PD_117_R7_S05#1,PD_117_R7_S05#1,DDB feast-famine scale-down,ddb_ff_sd,DDB35 C-lim,3,Escherichia coli K-12 BW25113 del_fhuA,DDB35,Fed-batch,No,DDB_BM_016,30,6.5,glucose,NH4OH,O2,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,ddb_sd
PD_121_R11_S05#,PD_121_R11_S05#,DDB feast-famine scale-down,ddb_ff_sd,SDT180 C-lim,1,Escherichia coli K-12 BW25113 del_fhuA del_rpoS,SDT180,Fed-batch,No,DDB_BM_016,30,6.5,glucose,NH4OH,O2,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,ddb_sd
PD_121_R13_S05#,PD_121_R13_S05#,DDB feast-famine scale-down,ddb_ff_sd,SDT201 C-lim,1,Escherichia coli K-12 BW25113 del_fhuA del_fliA,SDT201,Fed-batch,No,DDB_BM_016,30,6.5,glucose,NH4OH,O2,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,ddb_sd
PD_121_R15_S05#,PD_121_R15_S05#,DDB feast-famine scale-down,ddb_ff_sd,SDT202 C-lim,1,Escherichia coli K-12 BW25113 del_fhuA del_crp,SDT202,Fed-batch,No,DDB_BM_016,30,6.5,glucose,NH4OH,O2,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,ddb_sd
PD_121_R5_S05#2,PD_121_R5_S05#2,DDB feast-famine scale-down,ddb_ff_sd,DDB35 C-lim,1,Escherichia coli K-12 BW25113 del_fhuA,DDB35,Fed-batch,No,DDB_BM_016,30,6.5,glucose,NH4OH,O2,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,ddb_sd
PD_121_R7_S05#2,PD_121_R7_S05#2,DDB feast-famine scale-down,ddb_ff_sd,SDT173 C-lim,1,Escherichia coli K-12 BW25113 del_fhuA del_prpR,SDT173,Fed-batch,No,DDB_BM_016,30,6.5,glucose,NH4OH,O2,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,ddb_sd
PD_121_R9_S05#2,PD_121_R9_S05#2,DDB feast-famine scale-down,ddb_ff_sd,SDT178 C-lim,1,Escherichia coli K-12 BW25113 del_fhuA del_cra,SDT178,Fed-batch,No,DDB_BM_016,30,6.5,glucose,NH4OH,O2,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,ddb_sd
PD_122_R11_S05#,PD_122_R11_S05#,DDB feast-famine scale-down,ddb_ff_sd,SDT180 C-lim,2,Escherichia coli K-12 BW25113 del_fhuA del_rpoS,SDT180,Fed-batch,No,DDB_BM_016,30,6.5,glucose,NH4OH,O2,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,ddb_sd
PD_122_R13_S05#,PD_122_R13_S05#,DDB feast-famine scale-down,ddb_ff_sd,SDT201 C-lim,2,Escherichia coli K-12 BW25113 del_fhuA del_fliA,SDT201,Fed-batch,No,DDB_BM_016,30,6.5,glucose,NH4OH,O2,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,ddb_sd
PD_122_R15_S05#,PD_122_R15_S05#,DDB feast-famine scale-down,ddb_ff_sd,SDT202 C-lim,2,Escherichia coli K-12 BW25113 del_fhuA del_crp,SDT202,Fed-batch,No,DDB_BM_016,30,6.5,glucose,NH4OH,O2,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,ddb_sd
PD_122_R5_S05#2,PD_122_R5_S05#2,DDB feast-famine scale-down,ddb_ff_sd,DDB35 C-lim,2,Escherichia coli K-12 BW25113 del_fhuA,DDB35,Fed-batch,No,DDB_BM_016,30,6.5,glucose,NH4OH,O2,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,ddb_sd
PD_122_R7_S05#2,PD_122_R7_S05#2,DDB feast-famine scale-down,ddb_ff_sd,SDT173 C-lim,2,Escherichia coli K-12 BW25113 del_fhuA del_prpR,SDT173,Fed-batch,No,DDB_BM_016,30,6.5,glucose,NH4OH,O2,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,ddb_sd
PD_122_R9_S05#2,PD_122_R9_S05#2,DDB feast-famine scale-down,ddb_ff_sd,SDT178 C-lim,2,Escherichia coli K-12 BW25113 del_fhuA del_cra,SDT178,Fed-batch,No,DDB_BM_016,30,6.5,glucose,NH4OH,O2,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,ddb_sd
PD_123_R11_S05#,PD_123_R11_S05#,DDB feast-famine scale-down,ddb_ff_sd,SDT180 C-lim,3,Escherichia coli K-12 BW25113 del_fhuA del_rpoS,SDT180,Fed-batch,No,DDB_BM_016,30,6.5,glucose,NH4OH,O2,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,ddb_sd
PD_123_R13_S05#,PD_123_R13_S05#,DDB feast-famine scale-down,ddb_ff_sd,SDT201 C-lim,3,Escherichia coli K-12 BW25113 del_fhuA del_fliA,SDT201,Fed-batch,No,DDB_BM_016,30,6.5,glucose,NH4OH,O2,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,ddb_sd
PD_123_R5_S05#1,PD_123_R5_S05#1,DDB feast-famine scale-down,ddb_ff_sd,DDB35 C-lim,3,Escherichia coli K-12 BW25113 del_fhuA,DDB35,Fed-batch,No,DDB_BM_016,30,6.5,glucose,NH4OH,O2,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,ddb_sd
PD_123_R7_S05#1,PD_123_R7_S05#1,DDB feast-famine scale-down,ddb_ff_sd,SDT173 C-lim,3,Escherichia coli K-12 BW25113 del_fhuA del_prpR,SDT173,Fed-batch,No,DDB_BM_016,30,6.5,glucose,NH4OH,O2,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,ddb_sd
PD_123_R9_S05#1,PD_123_R9_S05#1,DDB feast-famine scale-down,ddb_ff_sd,SDT178 C-lim,3,Escherichia coli K-12 BW25113 del_fhuA del_cra,SDT178,Fed-batch,No,DDB_BM_016,30,6.5,glucose,NH4OH,O2,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,ddb_sd
