Sample,Total,Assigned,Unassigned_rRNA,Unassigned_Unmapped,Unassigned_Read_Type,Unassigned_Singleton,Unassigned_MappingQuality,Unassigned_Chimera,Unassigned_FragmentLength,Unassigned_Duplicate,Unassigned_MultiMapping,Unassigned_Secondary,Unassigned_NonSplit,Unassigned_NoFeatures,Unassigned_Overlapping_Length,Unassigned_Ambiguity,percent_assigned,reads_processed,reads_aligned,reads_aligned_percentage,not_aligned,not_aligned_percentage,Filename,File type,Encoding,Total Sequences,Sequences flagged as poor quality,Sequence length,%GC,total_deduplicated_percentage,avg_sequence_length,basic_statistics,per_base_sequence_quality,per_sequence_quality_scores,per_base_sequence_content,per_sequence_gc_content,per_base_n_content,sequence_length_distribution,sequence_duplication_levels,overrepresented_sequences,adapter_content,cutadapt_version,r_processed,r_with_adapters,r_written,bp_processed,quality_trimmed,bp_written,percent_trimmed,pe_sense,pe_antisense,failed
PD_117_R11_S05#,12074325,8216070,40853,1026782,0,0,0,0,353,0,0,0,0,2332799,420143,37325,68.04579138,12074325,11047543,91.5,1026782,8.5,PD_117_R11_S05#_val_2.fq.gz,Conventional base calls,Sanger / Illumina 1.9,12074325,0,20-100,51,21.05810934,99.1457409,pass,pass,pass,fail,pass,pass,warn,fail,warn,pass,2.6,12074738,4194274,12074738,1207473800,817576,1200762220,0.555836491,0.0203,0.4785,0.5012
PD_117_R12_S05#,12002410,7936354,50402,993189,0,0,0,0,280,0,0,0,0,2584949,401503,35733,66.12300363,12002410,11009221,91.73,993189,8.27,PD_117_R12_S05#_val_1.fq.gz,Conventional base calls,Sanger / Illumina 1.9,12002410,0,20-100,52,21.0034746,99.18287694,pass,pass,pass,fail,fail,pass,warn,fail,fail,pass,2.6,12002784,4164256,12002784,1200278400,642887,1193788080,0.54073455,0.0193,0.488,0.4927
PD_117_R13_S05#,12027986,8385113,39147,961585,0,0,0,0,444,0,0,0,0,2169932,428134,43631,69.7133585,12027986,11066401,92.01,961585,7.99,PD_117_R13_S05#_val_1.fq.gz,Conventional base calls,Sanger / Illumina 1.9,12027986,0,20-100,52,21.32579166,99.30992154,pass,pass,pass,fail,warn,pass,warn,fail,fail,pass,2.6,12028152,3695582,12028152,1202815200,341443,1197698133,0.425424205,0.0203,0.4728,0.507
PD_117_R5_S05#1,12150469,8395128,74216,486358,0,0,0,0,411,0,0,0,0,2711596,443112,39648,69.09303666,12150469,11664111,96,486358,4,PD_117_R5_S05#1_val_1.fq.gz,Conventional base calls,Sanger / Illumina 1.9,12150469,0,20-100,51,22.18572855,99.18564016,pass,pass,pass,fail,fail,pass,warn,fail,fail,pass,2.6,12150920,4166264,12150920,1215092000,831788,1208390110,0.551554121,0.0187,0.4755,0.5057
PD_117_R6_S05#1,12041864,8615747,78771,473814,0,0,0,0,408,0,0,0,0,2372457,459602,41065,71.54828355,12041864,11568050,96.07,473814,3.93,PD_117_R6_S05#1_val_1.fq.gz,Conventional base calls,Sanger / Illumina 1.9,12041864,0,20-100,51,22.48731306,99.18818831,pass,pass,pass,fail,fail,pass,warn,fail,fail,pass,2.6,12042328,4368281,12042328,1204232800,378534,1198273910,0.494828741,0.0186,0.4635,0.5179
PD_117_R7_S05#1,12003017,8344061,74824,466370,0,0,0,0,385,0,0,0,0,2639882,440282,37213,69.51636409,12003017,11536647,96.11,466370,3.89,PD_117_R7_S05#1_val_2.fq.gz,Conventional base calls,Sanger / Illumina 1.9,12003017,0,20-100,51,20.55920052,99.16163045,pass,pass,pass,fail,pass,pass,warn,fail,warn,pass,2.6,12003472,4104028,12003472,1200347200,791628,1193777017,0.547356881,0.0175,0.4629,0.5196
PD_121_R11_S05#,12064572,8167914,73801,549089,0,0,0,0,581,0,0,0,0,2840417,393000,39770,67.70164744,12064572,11515483,95.45,549089,4.55,PD_121_R11_S05#_val_2.fq.gz,Conventional base calls,Sanger / Illumina 1.9,12064572,0,20-100,51,18.50262058,99.19167045,pass,pass,pass,fail,pass,pass,warn,fail,warn,pass,2.6,12065054,4167356,12065054,1206505400,455856,1200175351,0.524659815,0.0157,0.4841,0.5003
PD_121_R13_S05#,12144342,8989934,50372,538205,0,0,0,0,525,0,0,0,0,2054113,467557,43636,74.02569855,12144342,11606137,95.57,538205,4.43,PD_121_R13_S05#_val_1.fq.gz,Conventional base calls,Sanger / Illumina 1.9,12144342,0,20-100,51,21.54144127,99.19649595,pass,pass,pass,fail,warn,pass,warn,fail,fail,pass,2.6,12145126,4139914,12145126,1214512600,498729,1208178727,0.521515627,0.0206,0.445,0.5344
PD_121_R15_S05#,12036293,8234908,145527,488476,0,0,0,0,469,0,0,0,0,2701722,425645,39546,68.41731088,12036293,11547817,95.94,488476,4.06,PD_121_R15_S05#_val_1.fq.gz,Conventional base calls,Sanger / Illumina 1.9,12036293,0,20-100,52,21.02870453,99.18035179,pass,pass,pass,fail,fail,pass,warn,fail,fail,pass,2.6,12036650,4436562,12036650,1203665000,333807,1197630170,0.501371229,0.0169,0.4683,0.5148
PD_121_R5_S05#2,12033609,7371886,142896,502720,0,0,0,0,989,0,0,0,0,3577130,403057,34931,61.26080713,12033609,11530889,95.82,502720,4.18,PD_121_R5_S05#2_val_1.fq.gz,Conventional base calls,Sanger / Illumina 1.9,12033609,0,20-100,52,20.44576732,99.29943311,pass,pass,pass,fail,fail,pass,warn,fail,fail,pass,2.6,12033728,3764041,12033728,1203372800,353897,1198194818,0.430289101,0.0185,0.5029,0.4786
