Time,DO,pH,Stirrer_speed,Temperature,Pressure,Air_flow,Oxygen_flow,Inlet_air_O2,Offgas_O2,Offgas_CO2,CTR,Formed_CO2,OTR,Consumed_O2,RQ,Feed_rate_volumetric,Feed_volume,Base_rate,Base_volume,Liquid_volume,Acid_volume,Acid_rate,Reflectance,Experiment,Reactor/Plate/Flask Number,Parent Culture,Base Medium,Container ID (calculated),Container Type,Control?,Culture Type,Experiment Annotation,growth_rate,Feed Medium #1,Replicate #,Seed,Strain Batch,Strain Genotype,Initial Culture VolumeNone,Culture Volume Unit,Starting OD,Temperature Setpoint (C),pH Setpoint,pH Control Base Solution,DO Control Setpoint (%),DO Control Cascade Level 1,DO Control Cascade Level 2,Minimum Aeration (slpm),Maximum Aeration (slpm),Minimum Stirring or Shaking Speed (rpm),Maximum Stirring or Shaking Speed (rpm),Aeration Gas Type,Phase
0.0,96.76365779,6.592032164,1002.967986,29.85000038,1.420944367,100.1637203,0.0,20.95,20.617968,0.0,0.0,,,,,0.0,,0.0,1.516624568,99.85972922,,,,DDB_PD_006_AMBR,R01,DDB_PD_006_AMBR_DDB25-001_R01_Main_,DDB_BM_002,R01,AMBR 250,No,Main,DDB Quorum Sensing,0.11,DDB_FM_002,1,DDB_PD_006_AMBR__1_Pre-Final_,DDB25-001,Escherichia coli BW25113 del_fhuA del_lsrR,100,mL,0.2,30,6.5,Ammonium hydroxide 15%,40,Stirring,Aeration,0.1,0.23,1000,4000,Air,batch
0.033333333,93.65851701,6.597985841,999.0430436,29.93014379,1.459635604,99.95978388,0.0,20.95,20.63097181,0.001,0.002711537,4.1e-08,0.165416097,6.25e-06,0.016392604,0.0,,0.0,1.516624568,102.6878003,,,,DDB_PD_006_AMBR,R01,DDB_PD_006_AMBR_DDB25-001_R01_Main_,DDB_BM_002,R01,AMBR 250,No,Main,DDB Quorum Sensing,0.11,DDB_FM_002,1,DDB_PD_006_AMBR__1_Pre-Final_,DDB25-001,Escherichia coli BW25113 del_fhuA del_lsrR,100,mL,0.2,30,6.5,Ammonium hydroxide 15%,40,Stirring,Aeration,0.1,0.23,1000,4000,Air,batch
0.066666667,92.2424827,6.596840585,1001.031843,29.95000076,1.463317784,99.90309536,0.0,20.95,20.62706446,0.001,0.003174933,1.54e-07,0.171116935,1.21e-05,0.018180142,0.0,,0.0,1.516624568,101.4460016,,,,DDB_PD_006_AMBR,R01,DDB_PD_006_AMBR_DDB25-001_R01_Main_,DDB_BM_002,R01,AMBR 250,No,Main,DDB Quorum Sensing,0.11,DDB_FM_002,1,DDB_PD_006_AMBR__1_Pre-Final_,DDB25-001,Escherichia coli BW25113 del_fhuA del_lsrR,100,mL,0.2,30,6.5,Ammonium hydroxide 15%,40,Stirring,Aeration,0.1,0.23,1000,4000,Air,batch
0.1,91.8191468,6.592649451,1000.072146,30.0,1.438494993,99.98216764,0.0,20.95,20.61714479,0.002,0.004103947,2.89e-07,0.189644515,1.84e-05,0.02104646,0.0,,0.0,1.516624568,101.4438918,,,,DDB_PD_006_AMBR,R01,DDB_PD_006_AMBR_DDB25-001_R01_Main_,DDB_BM_002,R01,AMBR 250,No,Main,DDB Quorum Sensing,0.11,DDB_FM_002,1,DDB_PD_006_AMBR__1_Pre-Final_,DDB25-001,Escherichia coli BW25113 del_fhuA del_lsrR,100,mL,0.2,30,6.5,Ammonium hydroxide 15%,40,Stirring,Aeration,0.1,0.23,1000,4000,Air,batch
0.133333333,91.43662076,6.597742163,999.1289945,30.02000046,1.572393965,100.0460027,0.0,20.95,20.6171295,0.002,0.005032962,4.25e-07,0.208172094,2.47e-05,0.023912779,0.0,,0.0,1.516624568,101.441778,,,,DDB_PD_006_AMBR,R01,DDB_PD_006_AMBR_DDB25-001_R01_Main_,DDB_BM_002,R01,AMBR 250,No,Main,DDB Quorum Sensing,0.11,DDB_FM_002,1,DDB_PD_006_AMBR__1_Pre-Final_,DDB25-001,Escherichia coli BW25113 del_fhuA del_lsrR,100,mL,0.2,30,6.5,Ammonium hydroxide 15%,40,Stirring,Aeration,0.1,0.23,1000,4000,Air,batch
0.166666667,90.46251696,6.600664372,1000.832185,30.03000069,1.47482971,99.8009907,0.0,20.95,20.6138398,0.002,0.005418216,5.87e-07,0.223262443,3.15e-05,0.024289389,0.0,,0.0,1.516624568,101.4403267,,,,DDB_PD_006_AMBR,R01,DDB_PD_006_AMBR_DDB25-001_R01_Main_,DDB_BM_002,R01,AMBR 250,No,Main,DDB Quorum Sensing,0.11,DDB_FM_002,1,DDB_PD_006_AMBR__1_Pre-Final_,DDB25-001,Escherichia coli BW25113 del_fhuA del_lsrR,100,mL,0.2,30,6.5,Ammonium hydroxide 15%,40,Stirring,Aeration,0.1,0.23,1000,4000,Air,batch
0.2,90.1847221,6.595659315,1000.560451,30.03000069,1.560912375,99.86394411,0.0,20.95,20.61656085,0.002,0.005418123,7.67e-07,0.213933758,3.88e-05,0.025330551,0.0,,0.0,1.516624568,101.4384422,,,,DDB_PD_006_AMBR,R01,DDB_PD_006_AMBR_DDB25-001_R01_Main_,DDB_BM_002,R01,AMBR 250,No,Main,DDB Quorum Sensing,0.11,DDB_FM_002,1,DDB_PD_006_AMBR__1_Pre-Final_,DDB25-001,Escherichia coli BW25113 del_fhuA del_lsrR,100,mL,0.2,30,6.5,Ammonium hydroxide 15%,40,Stirring,Aeration,0.1,0.23,1000,4000,Air,batch
0.233333333,90.14029393,6.597943578,1001.7324,30.03000069,1.52628277,99.94021012,0.0,20.95,20.62012655,0.003,0.008131032,9.86e-07,0.201090969,4.64e-05,0.04054177,0.0,,0.0,1.516624568,101.4365661,,,,DDB_PD_006_AMBR,R01,DDB_PD_006_AMBR_DDB25-001_R01_Main_,DDB_BM_002,R01,AMBR 250,No,Main,DDB Quorum Sensing,0.11,DDB_FM_002,1,DDB_PD_006_AMBR__1_Pre-Final_,DDB25-001,Escherichia coli BW25113 del_fhuA del_lsrR,100,mL,0.2,30,6.5,Ammonium hydroxide 15%,40,Stirring,Aeration,0.1,0.23,1000,4000,Air,batch
0.266666667,89.94975907,6.598724844,1000.699918,30.02000046,1.568480416,99.96195062,0.0,20.95,20.62772403,0.003,0.008132381,1.26e-06,0.175070556,5.22e-05,0.046635368,0.0,,0.0,1.516624568,101.434632,,,,DDB_PD_006_AMBR,R01,DDB_PD_006_AMBR_DDB25-001_R01_Main_,DDB_BM_002,R01,AMBR 250,No,Main,DDB Quorum Sensing,0.11,DDB_FM_002,1,DDB_PD_006_AMBR__1_Pre-Final_,DDB25-001,Escherichia coli BW25113 del_fhuA del_lsrR,100,mL,0.2,30,6.5,Ammonium hydroxide 15%,40,Stirring,Aeration,0.1,0.23,1000,4000,Air,batch
0.3,89.91923655,6.594999935,998.3687104,30.02000046,1.626748392,100.038011,0.0,20.95,20.62384369,0.003,0.008128413,1.53e-06,0.18828575,5.83e-05,0.043256089,0.0,,0.0,1.516624568,101.4327033,,,,DDB_PD_006_AMBR,R01,DDB_PD_006_AMBR_DDB25-001_R01_Main_,DDB_BM_002,R01,AMBR 250,No,Main,DDB Quorum Sensing,0.11,DDB_FM_002,1,DDB_PD_006_AMBR__1_Pre-Final_,DDB25-001,Escherichia coli BW25113 del_fhuA del_lsrR,100,mL,0.2,30,6.5,Ammonium hydroxide 15%,40,Stirring,Aeration,0.1,0.23,1000,4000,Air,batch
