Timepoint Sample,Experiment,Parent Culture,Reactor/Plate/Flask Number,Timepoint (#),Timepoint (h),Sample volume (mL),OD,D-glucose [g/L],acetic acid [g/L],citric acid [g/L],ethanol [g/L],formic acid [g/L],lactate [g/L],potassium dihydrogen phosphate [g/L],pyruvic acid [g/L],succinic acid [g/L]
DDB_PD_009_AMBR_R01__S00,DDB_PD_009_AMBR,DDB_PD_009_AMBR_DDB26-001_R01_Main_,R01,S00,0.0,1.0,0.279,22.2557384766875,0.0,0.0,0.0,0.0,0.0,10.729708200661602,0.0,0.0
DDB_PD_009_AMBR_R01__S01,DDB_PD_009_AMBR,DDB_PD_009_AMBR_DDB26-001_R01_Main_,R01,S01,3.015785,1.0,0.582,21.8200654315509,0.0,0.0,0.0,0.0,0.0,10.680118498704601,0.0,0.0
DDB_PD_009_AMBR_R01__S02,DDB_PD_009_AMBR,DDB_PD_009_AMBR_DDB26-001_R01_Main_,R01,S02,6.019387,2.5,1.81,20.711929131598403,0.164552518968904,0.0,0.0,0.0,0.0,10.5183482593565,0.0,0.0
DDB_PD_009_AMBR_R01__S03,DDB_PD_009_AMBR,DDB_PD_009_AMBR_DDB26-001_R01_Main_,R01,S03,9.018089,1.0,5.44,17.1632363473901,0.53150643481833,0.0,0.0,0.0,0.34097494878530304,10.6974569345386,0.0,0.0
DDB_PD_009_AMBR_R01__S04,DDB_PD_009_AMBR,DDB_PD_009_AMBR_DDB26-001_R01_Main_,R01,S04,12.01228,1.0,15.49,9.02478988211181,0.7366912045075901,0.0,0.0,0.0,0.913000141275909,10.8590626450573,0.24551392042841702,0.0
DDB_PD_009_AMBR_R01__S05,DDB_PD_009_AMBR,DDB_PD_009_AMBR_DDB26-001_R01_Main_,R01,S05,14.55828,1.0,29.56,0.0,0.0,0.0,0.0,0.0,0.0,11.065453140361301,0.0,0.0
DDB_PD_009_AMBR_R01__S06,DDB_PD_009_AMBR,DDB_PD_009_AMBR_DDB26-001_R01_Main_,R01,S06,17.55985,1.0,44.025,0.0,0.0,0.0,0.0,0.0,0.0,10.8592934807793,0.0,0.0
DDB_PD_009_AMBR_R01__S07,DDB_PD_009_AMBR,DDB_PD_009_AMBR_DDB26-001_R01_Main_,R01,S07,20.56002,1.5,63.225,0.0,0.0,0.0,0.0,0.0,0.0,10.4658976039985,0.0,0.0
DDB_PD_009_AMBR_R01__S08,DDB_PD_009_AMBR,DDB_PD_009_AMBR_DDB26-001_R01_Main_,R01,S08,23.55811,1.0,87.4,0.0,0.0,0.0,0.0,0.0,0.0,8.43920646784537,0.0,0.0
DDB_PD_009_AMBR_R01__S09,DDB_PD_009_AMBR,DDB_PD_009_AMBR_DDB26-001_R01_Main_,R01,S09,26.56051,1.0,98.6,0.0,0.0,0.0,0.0,0.0,0.0,7.1224494631882695,0.0,0.0
DDB_PD_009_AMBR_R01__S10,DDB_PD_009_AMBR,DDB_PD_009_AMBR_DDB26-001_R01_Main_,R01,S10,29.55952,1.5,148.6,0.0,0.0,0.0,0.0,0.0,0.0,5.83880604387455,0.0,0.0
DDB_PD_009_AMBR_R02__S00,DDB_PD_009_AMBR,DDB_PD_009_AMBR_DDB26-001_R02_Main_,R02,S00,0.0,1.0,0.276,26.2908471570911,0.0,0.0,0.0,0.0,0.0,12.543434006287399,0.0,0.0
DDB_PD_009_AMBR_R02__S01,DDB_PD_009_AMBR,DDB_PD_009_AMBR_DDB26-001_R02_Main_,R02,S01,3.032021,1.0,0.564,27.2865563397308,0.0,0.0,0.0,0.0,0.0,13.1920385745887,0.0,0.0
DDB_PD_009_AMBR_R02__S02,DDB_PD_009_AMBR,DDB_PD_009_AMBR_DDB26-001_R02_Main_,R02,S02,6.04473,2.5,1.77,22.8826202729364,0.16621263019416999,0.0,0.0,0.0,0.0,11.6064150395062,0.0,0.0
DDB_PD_009_AMBR_R02__S03,DDB_PD_009_AMBR,DDB_PD_009_AMBR_DDB26-001_R02_Main_,R02,S03,9.035623,1.0,5.045,19.244339740662,0.490559903076664,0.0,0.0,0.0,0.35517108817045,11.899452832025801,0.0,0.0
DDB_PD_009_AMBR_R02__S04,DDB_PD_009_AMBR,DDB_PD_009_AMBR_DDB26-001_R02_Main_,R02,S04,12.02967,1.0,14.15,11.0247390869132,0.956686621873974,0.0,0.0,0.0,1.10983479786367,12.191038514241498,0.28453944470061,0.0
DDB_PD_009_AMBR_R02__S05,DDB_PD_009_AMBR,DDB_PD_009_AMBR_DDB26-001_R02_Main_,R02,S05,14.81488,1.0,30.02,0.0,0.0,0.0,0.0,0.0,0.0,12.4346128081032,0.0,0.0
DDB_PD_009_AMBR_R02__S06,DDB_PD_009_AMBR,DDB_PD_009_AMBR_DDB26-001_R02_Main_,R02,S06,17.8168,1.0,45.725,0.0,0.0,0.0,0.0,0.0,0.0,11.299396811850599,0.0,0.0
DDB_PD_009_AMBR_R02__S07,DDB_PD_009_AMBR,DDB_PD_009_AMBR_DDB26-001_R02_Main_,R02,S07,20.817,1.5,64.2,0.0,0.0,0.0,0.0,0.0,0.0,11.063836129282102,0.0,0.0
DDB_PD_009_AMBR_R02__S08,DDB_PD_009_AMBR,DDB_PD_009_AMBR_DDB26-001_R02_Main_,R02,S08,23.8242,1.0,89.6,0.0,0.0,0.0,0.0,0.0,0.0,9.32222517572872,0.0,0.0
DDB_PD_009_AMBR_R02__S09,DDB_PD_009_AMBR,DDB_PD_009_AMBR_DDB26-001_R02_Main_,R02,S09,26.81705,1.0,97.3,0.0,0.0,0.0,0.0,0.0,0.0,7.830911785189329,0.0,0.0
DDB_PD_009_AMBR_R02__S10,DDB_PD_009_AMBR,DDB_PD_009_AMBR_DDB26-001_R02_Main_,R02,S10,29.81622,1.5,148.55,0.0,0.0,0.0,0.0,0.0,0.0,5.73496383814157,0.0,0.0
DDB_PD_009_AMBR_R04__S00,DDB_PD_009_AMBR,DDB_PD_009_AMBR_DDB27-001_R04_Main_,R04,S00,0.0,1.0,0.405,32.5659964933701,0.0,0.0,0.0,0.0,0.0,15.065922496795901,0.0,0.0
DDB_PD_009_AMBR_R04__S01,DDB_PD_009_AMBR,DDB_PD_009_AMBR_DDB27-001_R04_Main_,R04,S01,3.011987,1.0,0.66,33.2341124951611,0.09939209166885951,0.0,0.0,0.0,0.0,15.884859707832998,0.0,0.0
DDB_PD_009_AMBR_R04__S02,DDB_PD_009_AMBR,DDB_PD_009_AMBR_DDB27-001_R04_Main_,R04,S02,6.023468,2.5,1.94,30.1637397916544,0.253544072076388,0.0,0.0,0.0,0.0,15.1049035051388,0.0,0.0
DDB_PD_009_AMBR_R04__S03,DDB_PD_009_AMBR,DDB_PD_009_AMBR_DDB27-001_R04_Main_,R04,S03,9.013874000000001,1.0,5.43,21.0912133723838,0.7173693438846911,0.0,0.0,0.0,0.518940920525684,13.490792988204099,0.202468568696286,0.0
DDB_PD_009_AMBR_R04__S04,DDB_PD_009_AMBR,DDB_PD_009_AMBR_DDB27-001_R04_Main_,R04,S04,12.0135,1.0,13.73,9.96611341929721,1.0922761991641399,0.0,0.0,0.0,1.24419182498911,12.9331381624174,0.343006534712133,0.0
DDB_PD_009_AMBR_R04__S05,DDB_PD_009_AMBR,DDB_PD_009_AMBR_DDB27-001_R04_Main_,R04,S05,14.64805,1.0,28.28,0.0,0.503234693445731,0.0,0.0,0.0,0.0,15.485705971516,0.0,0.0
DDB_PD_009_AMBR_R04__S06,DDB_PD_009_AMBR,DDB_PD_009_AMBR_DDB27-001_R04_Main_,R04,S06,17.64993,1.0,38.325,0.0,0.0,0.0,0.0,0.0,0.0,12.072888951818,0.0,0.0
DDB_PD_009_AMBR_R04__S07,DDB_PD_009_AMBR,DDB_PD_009_AMBR_DDB27-001_R04_Main_,R04,S07,20.6501,1.5,56.35,0.0,0.0,0.0,0.0,0.0,0.0,12.9189963817396,0.0,0.0
