Timepoint Sample,Experiment,Parent Culture,Reactor/Plate/Flask Number,Timepoint (#),Timepoint (h),Sample volume (mL),OD,D-glucose [g/L],acetic acid [g/L],citric acid [g/L],ethanol [g/L],formic acid [g/L],lactate [g/L],pyruvic acid [g/L],succinic acid [g/L],as [µg/L],cd_no_gas [µg/L],co [µg/L],cr [µg/L],cu [µg/L],fe [µg/L],mn [µg/L],mo [µg/L],ni [µg/L],pb_no_gas [µg/L],v [µg/L],zn [µg/L]
DDB_PD_036_AMBR_R13__S00,DDB_PD_036_AMBR,DDB_PD_036_AMBR_DDB35-001_R13_Main_,R13,S00,0.0,1.0,0.282,21.439751011358798,0.23374077869069299,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
DDB_PD_036_AMBR_R13__S01,DDB_PD_036_AMBR,DDB_PD_036_AMBR_DDB35-001_R13_Main_,R13,S01,3.01893,1.0,0.656,23.6382305059365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
DDB_PD_036_AMBR_R13__S02,DDB_PD_036_AMBR,DDB_PD_036_AMBR_DDB35-001_R13_Main_,R13,S02,6.168409,2.5,1.996,24.301256111964598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
DDB_PD_036_AMBR_R13__S03,DDB_PD_036_AMBR,DDB_PD_036_AMBR_DDB35-001_R13_Main_,R13,S03,9.017389999999999,1.0,6.59,18.3259403214694,0.6040942972404371,0.0,0.0,0.0,0.285774886721095,0.0,0.0,,,,,,,,,,,,
DDB_PD_036_AMBR_R13__S04,DDB_PD_036_AMBR,DDB_PD_036_AMBR_DDB35-001_R13_Main_,R13,S04,12.02064,1.0,22.3,8.215383188322999,1.24377000634352,0.0,0.0,0.0,0.769307687491267,0.0,0.0,,,,,,,,,,,,
DDB_PD_036_AMBR_R13__S05,DDB_PD_036_AMBR,DDB_PD_036_AMBR_DDB35-001_R13_Main_,R13,S05,14.06658,1.0,31.35,0.0,0.37509557450840697,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
DDB_PD_036_AMBR_R13__S06,DDB_PD_036_AMBR,DDB_PD_036_AMBR_DDB35-001_R13_Main_,R13,S06,17.06925,1.0,55.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
DDB_PD_036_AMBR_R13__S07,DDB_PD_036_AMBR,DDB_PD_036_AMBR_DDB35-001_R13_Main_,R13,S07,20.53589,1.5,64.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
DDB_PD_036_AMBR_R13__S08,DDB_PD_036_AMBR,DDB_PD_036_AMBR_DDB35-001_R13_Main_,R13,S08,23.06692,1.0,106.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
DDB_PD_036_AMBR_R13__S09,DDB_PD_036_AMBR,DDB_PD_036_AMBR_DDB35-001_R13_Main_,R13,S09,26.06865,1.0,126.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
