Timepoint Sample,Experiment,Parent Culture,Reactor/Plate/Flask Number,Timepoint (#),Timepoint (h),Sample volume (mL),OD,D-glucose [g/L],acetic acid [g/L],citric acid [g/L],ethanol [g/L],formic acid [g/L],lactate [g/L],pyruvic acid [g/L],succinic acid [g/L]
DDB_PD_045_AMBR_R01__S0,DDB_PD_045_AMBR,DDB_PD_045_AMBR_SDT169-001_R01_Main_,R01,S0,0.0,2,0.255,24.411469980652498,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DDB_PD_045_AMBR_R01__S1,DDB_PD_045_AMBR,DDB_PD_045_AMBR_SDT169-001_R01_Main_,R01,S1,9.019164545,4,5.84,18.2223718082846,1.0905696990870202,0.0,0.0,0.0,0.5574165656562831,0.13899078714970098,0.0
DDB_PD_045_AMBR_R01__S2,DDB_PD_045_AMBR,DDB_PD_045_AMBR_SDT169-001_R01_Main_,R01,S2,12.01868068,2,11.9,9.94574927431311,1.98105868885493,0.0,0.0,0.0,0.8308005401692551,0.22941743330662598,0.0
DDB_PD_045_AMBR_R01__S3,DDB_PD_045_AMBR,DDB_PD_045_AMBR_SDT169-001_R01_Main_,R01,S3,16.61137837,2,22.7,0.0,2.93155122013448,0.0,0.0,0.0,0.0,0.0,0.0
DDB_PD_045_AMBR_R01__S4,DDB_PD_045_AMBR,DDB_PD_045_AMBR_SDT169-001_R01_Main_,R01,S4,25.61476442,2,76.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28556811282439704
DDB_PD_045_AMBR_R01__S5,DDB_PD_045_AMBR,DDB_PD_045_AMBR_SDT169-001_R01_Main_,R01,S5,31.61245751,4,133.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26076328276934396
DDB_PD_045_AMBR_R01__S6,DDB_PD_045_AMBR,DDB_PD_045_AMBR_SDT169-001_R01_Main_,R01,S6,33.61190804,2,153.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.308413912605155
DDB_PD_045_AMBR_R01__S7,DDB_PD_045_AMBR,DDB_PD_045_AMBR_SDT169-001_R01_Main_,R01,S7,36.60896465,2,185.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.205912926942311
DDB_PD_045_AMBR_R01__S8,DDB_PD_045_AMBR,DDB_PD_045_AMBR_SDT169-001_R01_Main_,R01,S8,40.6138364,4,187.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.143523779290928
DDB_PD_045_AMBR_R02__S0,DDB_PD_045_AMBR,DDB_PD_045_AMBR_SDT169-001_R02_Main_,R02,S0,0.0,2,0.255,25.5138307649851,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DDB_PD_045_AMBR_R02__S1,DDB_PD_045_AMBR,DDB_PD_045_AMBR_SDT169-001_R02_Main_,R02,S1,9.038969628,4,5.17,19.765573102796402,1.17000664497209,0.0,0.0,0.0,0.598004810420079,0.0,0.0
DDB_PD_045_AMBR_R02__S2,DDB_PD_045_AMBR,DDB_PD_045_AMBR_SDT169-001_R02_Main_,R02,S2,12.03723489,2,12.6,9.365628807225999,2.02055665088609,0.0,0.0,0.0,0.842897146015899,0.194308136705724,0.0
DDB_PD_045_AMBR_R02__S3,DDB_PD_045_AMBR,DDB_PD_045_AMBR_SDT169-001_R02_Main_,R02,S3,16.40733059,2,23.35,0.0,2.8011354663345402,0.0,0.0,0.0,0.0,0.0,0.0
DDB_PD_045_AMBR_R02__S4,DDB_PD_045_AMBR,DDB_PD_045_AMBR_SDT169-001_R02_Main_,R02,S4,25.40852974,2,73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.279785043375308
DDB_PD_045_AMBR_R02__S5,DDB_PD_045_AMBR,DDB_PD_045_AMBR_SDT169-001_R02_Main_,R02,S5,31.40855678,4,131.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.267781168188391
DDB_PD_045_AMBR_R02__S6,DDB_PD_045_AMBR,DDB_PD_045_AMBR_SDT169-001_R02_Main_,R02,S6,33.40867476,2,149.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23077337701567402
