Timepoint Sample,Experiment,Parent Culture,Reactor/Plate/Flask Number,Timepoint (#),Timepoint (h),Sample volume (mL),OD,D-glucose [g/L],acetic acid [g/L],citric acid [g/L],ethanol [g/L],formic acid [g/L],lactate [g/L],pyruvic acid [g/L],succinic acid [g/L],co [µg/L],cu [µg/L],fe [µg/L],k [mg/L],mg [mg/L],mn [µg/L],mo [µg/L],na [mg/L],s [mg/L],zn [µg/L]
DDB_PD_065_AMBR_R13__S00,DDB_PD_065_AMBR,DDB_PD_065_AMBR_DDB7-006_R13_Main_,R13,S00,0.0,1.5,0.25,25.20931951592335,0.0,1.81313648561895,0.0,0.0,0.0,0.0,0.0,470.4117016,441.7698687,32540.54986,6854.765879,55.43542762,344.6786494,728.1456461,97.47720411,2907.385074,5506.26136
DDB_PD_065_AMBR_R13__S01,DDB_PD_065_AMBR,DDB_PD_065_AMBR_DDB7-006_R13_Main_,R13,S01,3.01682959,1.5,0.58,24.21382845714415,0.0,1.7727425459615451,0.0,0.0,0.0,0.0,0.0,442.8303231,405.04576,39485.18613,5485.363599,46.14919654,336.8844089,697.1503157,70.93195803,2157.334682,5331.154689
DDB_PD_065_AMBR_R13__S02,DDB_PD_065_AMBR,DDB_PD_065_AMBR_DDB7-006_R13_Main_,R13,S02,6.01901908,1.5,1.38,22.6347526662728,0.277750045921228,1.79120740507795,0.0,0.098284461715194,0.2765890434311045,0.83081545817944,0.0,435.181341,399.9534533,36424.35136,5068.607988,49.96034281,340.099618,675.5603728,71.08348046,2006.970139,5224.605699
DDB_PD_065_AMBR_R13__S03,DDB_PD_065_AMBR,DDB_PD_065_AMBR_DDB7-006_R13_Main_,R13,S03,9.017648552,3.5,3.73,19.6899228614063,0.47880879039147106,1.772513121343745,0.0,0.4843750295289685,0.87480834513736,0.929185768917465,0.085067458832344,438.6001749,289.5717966,39805.36719,4987.460084,57.02397934,340.4688494,688.5307616,64.19298509,1967.486068,5202.599208
DDB_PD_065_AMBR_R13__S04,DDB_PD_065_AMBR,DDB_PD_065_AMBR_DDB7-006_R13_Main_,R13,S04,12.01805338,1.5,11.8,14.39827871571585,0.853826360187555,1.7735270637310798,0.0,0.85120950620992,1.56787667846277,0.62597424654541,0.19233649079291848,439.2915796,134.6396427,38637.15041,4619.241039,53.15128666,227.2442037,675.820976,58.00313633,1685.382328,5213.086477
DDB_PD_065_AMBR_R13__S05,DDB_PD_065_AMBR,DDB_PD_065_AMBR_DDB7-006_R13_Main_,R13,S05,16.19457097,1.5,37.3,0.0,0.2339718423718455,1.731723658945695,0.0,0.0,0.0,0.0,0.0,445.5443581,209.8061577,37837.07736,4996.145753,30.16535705,303.5014365,672.0965713,77.74620708,2173.432448,4898.376631
DDB_PD_065_AMBR_R13__S06,DDB_PD_065_AMBR,DDB_PD_065_AMBR_DDB7-006_R13_Main_,R13,S06,19.20076364,2.0,65.1,0.0,0.0,1.661712092156315,0.0,0.0,0.0,0.0,0.3679983688678165,447.6272234,225.8569264,36203.99525,4698.510056,52.37954878,204.3504015,656.9112873,79.65310898,2037.987188,4721.252635
DDB_PD_065_AMBR_R13__S07,DDB_PD_065_AMBR,DDB_PD_065_AMBR_DDB7-006_R13_Main_,R13,S07,22.20197226,1.5,66.9,0.0,0.1937726997132955,1.5607857119100048,0.0,0.0,0.047594011137423696,0.0,0.602920018154025,431.0493958,186.5035659,34668.09492,4666.827942,73.30275908,128.7453152,583.5274882,78.19027194,2010.326647,4255.365373
DDB_PD_065_AMBR_R13__S08,DDB_PD_065_AMBR,DDB_PD_065_AMBR_DDB7-006_R13_Main_,R13,S08,25.20070535,2.0,95.6,0.0,0.2749687783080855,1.22065618918232,0.0,0.0,0.0,0.0,0.81425793938588,433.6628987,137.9659657,31037.67996,4871.541138,115.1610793,74.66828166,579.2011816,82.72461331,2189.929537,3981.180772
DDB_PD_065_AMBR_R13__S09,DDB_PD_065_AMBR,DDB_PD_065_AMBR_DDB7-006_R13_Main_,R13,S09,28.1997302,1.5,113.0,0.0,0.25729352388717497,1.25319148445212,0.0,0.0,0.0764872327780515,0.0,0.88091211347976,412.3294327,113.8210818,26485.98214,4125.942497,115.7144339,48.06251442,495.8365501,73.45350097,1924.052277,3296.512899
DDB_PD_065_AMBR_R13__S10,DDB_PD_065_AMBR,DDB_PD_065_AMBR_DDB7-006_R13_Main_,R13,S10,31.20175644,2.0,144.7,0.0,0.2517186667551485,0.961925238866735,0.0,0.0,0.0,0.0,0.91386201655132,386.8266876,81.42502348,21660.58448,4031.467468,157.2407316,28.87850072,388.2895637,68.75853846,1875.052898,2515.201406
DDB_PD_065_AMBR_R14__S00,DDB_PD_065_AMBR,DDB_PD_065_AMBR_SDT169-001_R14_Main_,R14,S00,0.0,1.5,0.25,24.100191520757697,0.076069921048912,1.76638842599981,0.0,0.0,0.0,0.0,0.0,466.1514126,436.3536339,34355.17021,5397.175858,25.41123449,342.3096353,762.99192,88.39452416,2266.631734,5628.303919
DDB_PD_065_AMBR_R14__S01,DDB_PD_065_AMBR,DDB_PD_065_AMBR_SDT169-001_R14_Main_,R14,S01,3.036002194,1.5,0.6,24.1737475623713,0.179391993393169,1.77534185185247,0.0,0.0,0.0,0.0,0.0,435.1953867,403.4081226,38990.98294,5788.88047,29.20533328,337.3160626,688.3286629,69.28905682,2232.443498,5248.162659
DDB_PD_065_AMBR_R14__S02,DDB_PD_065_AMBR,DDB_PD_065_AMBR_SDT169-001_R14_Main_,R14,S02,6.038282253999999,1.5,1.28,21.573967822156547,0.31803264696601247,1.7663849597128949,0.0,0.0,0.77076632739484,0.953812472754375,0.0,432.3548368,397.4647653,38356.51538,5679.815651,47.80889739,346.3625293,686.0976597,69.62847976,2195.027797,5273.621488
DDB_PD_065_AMBR_R14__S03,DDB_PD_065_AMBR,DDB_PD_065_AMBR_SDT169-001_R14_Main_,R14,S03,9.036803461,3.5,3.31,17.37122073371225,0.66211526533015,1.748423787334705,0.0,0.0,1.764517807482135,1.1954183747190599,0.0,429.394441,348.2805226,39114.55965,5007.224526,59.47025789,325.8387951,697.0296999,63.72357983,1832.138077,5202.13772
DDB_PD_065_AMBR_R14__S04,DDB_PD_065_AMBR,DDB_PD_065_AMBR_SDT169-001_R14_Main_,R14,S04,12.03722968,1.5,9.3,13.278717897574051,1.510710532090465,1.7349242821524,0.0,0.73650006582267,1.8244174918307299,0.689425085966775,0.23605454877246,439.4884971,290.5960879,38679.09368,4842.380893,55.93614582,223.7696039,680.4512233,80.50593411,2051.357275,5197.540238
DDB_PD_065_AMBR_R14__S05,DDB_PD_065_AMBR,DDB_PD_065_AMBR_SDT169-001_R14_Main_,R14,S05,18.35665208,1.5,27.5,0.0,2.47632099358225,1.7047364177462248,0.0,0.0,0.0,0.0,0.0,473.0881657,254.8798246,38475.51247,4703.377245,33.17633614,319.8102095,736.1471639,88.89053684,2045.672801,5300.176875
DDB_PD_065_AMBR_R14__S06,DDB_PD_065_AMBR,DDB_PD_065_AMBR_SDT169-001_R14_Main_,R14,S06,21.35907461,1.5,57.2,0.0,0.093967779066831,1.669312838022615,0.0,0.0,0.0,0.0,0.310306487188447,426.2499778,212.9883281,34330.14044,4823.664065,38.00476441,215.7049428,566.8728417,85.65287985,2102.412216,4611.732204
DDB_PD_065_AMBR_R14__S07,DDB_PD_065_AMBR,DDB_PD_065_AMBR_SDT169-001_R14_Main_,R14,S07,24.35782796,1.5,58.4,0.0,0.1291289648654235,1.365542056026695,0.0,0.0,0.0,0.0,0.4726010520933865,426.1606771,240.6405968,34828.21828,4701.750202,77.54973622,177.7134023,627.1122591,88.08058942,1982.192673,4320.395566
DDB_PD_065_AMBR_R14__S08,DDB_PD_065_AMBR,DDB_PD_065_AMBR_SDT169-001_R14_Main_,R14,S08,27.36017389,1.5,78.9,0.0,0.1896052573251675,1.4562856707573448,0.0,0.0,0.0,0.0,0.615466612085685,414.9369837,141.3308047,28832.48136,4270.205418,79.61278856,90.14894174,584.7053785,83.87311917,1943.134648,3944.697559
DDB_PD_065_AMBR_R14__S09,DDB_PD_065_AMBR,DDB_PD_065_AMBR_SDT169-001_R14_Main_,R14,S09,30.35884201,1.5,96.5,0.0,0.1899585681082425,1.31749898033776,0.0,0.0,0.0,0.0,0.58452411346687,398.7611828,61.16903616,25325.1529,4826.573145,97.71491436,49.95925793,497.786438,88.68320169,2112.778886,3336.167517
DDB_PD_065_AMBR_R14__S10,DDB_PD_065_AMBR,DDB_PD_065_AMBR_SDT169-001_R14_Main_,R14,S10,33.35771484,2.0,126.5,0.0,0.207901352577819,1.15736271065929,0.0,0.0,0.0,0.0,0.5829253767626099,394.3045799,72.81522952,21748.68229,3993.96289,102.7065506,38.48546216,422.9170248,77.99673609,1891.360519,2672.875858
DDB_PD_065_AMBR_R15__S00,DDB_PD_065_AMBR,DDB_PD_065_AMBR_SDT169-001_R15_Main_,R15,S00,0.0,1.5,0.25,23.909799832686,0.07635014485771699,1.676974288393365,0.0,0.0,0.0,0.0,0.0,448.1057382,412.3472351,36796.86157,5704.713203,69.65757143,348.4412604,719.1590026,95.59297748,2405.647978,5372.426548
DDB_PD_065_AMBR_R15__S01,DDB_PD_065_AMBR,DDB_PD_065_AMBR_SDT169-001_R15_Main_,R15,S01,3.056111937,1.5,0.67,24.132394598152903,0.0,1.7810194400003252,0.0,0.0,0.0,0.0,0.0,439.9586243,410.5274168,39657.98772,5813.664265,70.43959261,354.4046201,693.6010298,52.76002209,1988.921298,5299.129213
DDB_PD_065_AMBR_R15__S02,DDB_PD_065_AMBR,DDB_PD_065_AMBR_SDT169-001_R15_Main_,R15,S02,6.05843871,1.5,1.2,21.634080988254052,0.299821428719823,1.760314045774415,0.0,0.0,0.579183345988675,0.9209813793796701,0.0,430.7768994,394.5464512,38780.49193,5969.030114,68.31371356,332.4147646,678.5781759,85.85041794,2595.647999,5208.347197
DDB_PD_065_AMBR_R15__S03,DDB_PD_065_AMBR,DDB_PD_065_AMBR_SDT169-001_R15_Main_,R15,S03,9.056709387,3.5,3.23,17.62518014680385,0.6490605405683201,1.75550923585542,0.0,0.0,1.778414607079655,1.255622912509775,0.0,448.2354364,383.887931,39738.13704,5209.733456,61.42371808,339.0887912,712.3029539,72.21359133,1993.28091,5344.333449
DDB_PD_065_AMBR_R15__S04,DDB_PD_065_AMBR,DDB_PD_065_AMBR_SDT169-001_R15_Main_,R15,S04,12.05725044,1.5,11.3,13.71594911655845,1.463825833582635,1.7456505965350448,0.0,0.779259380084575,1.74418935603177,0.6845231807812551,0.233268125271208,428.3291851,309.5417861,39798.16105,4659.026893,52.58513935,234.0911911,683.6987511,71.21400384,1831.218786,5013.195459
DDB_PD_065_AMBR_R15__S05,DDB_PD_065_AMBR,DDB_PD_065_AMBR_SDT169-001_R15_Main_,R15,S05,18.42380672,1.5,27.3,0.0,2.565093028335565,1.7162794802790902,0.0,0.0,0.0,0.0,0.21705281857602748,444.5403224,231.2878033,38518.46754,4953.048992,30.35991493,277.7352548,674.5901861,86.1557047,2024.270081,4942.278056
DDB_PD_065_AMBR_R15__S06,DDB_PD_065_AMBR,DDB_PD_065_AMBR_SDT169-001_R15_Main_,R15,S06,21.4260996,1.5,51.6,0.0,0.405760732324548,1.6283839312049,0.0,0.0,0.0,0.0,0.37454245724200597,418.8967702,272.928652,34676.526,4632.648716,37.85601925,214.8205141,624.490214,84.98446565,1978.570637,4498.208197
DDB_PD_065_AMBR_R15__S07,DDB_PD_065_AMBR,DDB_PD_065_AMBR_SDT169-001_R15_Main_,R15,S07,24.42476351,1.5,63.0,0.0,0.1355391116218845,1.354388607567095,0.0,0.0,0.0,0.0,0.0,426.5643489,270.6231007,33910.24868,4715.172303,68.32546793,163.0767463,630.4857345,92.03327038,2028.716645,4317.521163
DDB_PD_065_AMBR_R15__S08,DDB_PD_065_AMBR,DDB_PD_065_AMBR_SDT169-001_R15_Main_,R15,S08,27.42712537,1.5,81.3,0.0,0.1867707297030155,1.44596380329829,0.0,0.0,0.0,0.0,0.6643259143420099,426.3117741,169.1010796,30018.52362,4401.412867,80.28622164,95.54085493,592.5924028,85.65344601,1986.129062,3994.371251
DDB_PD_065_AMBR_R15__S09,DDB_PD_065_AMBR,DDB_PD_065_AMBR_SDT169-001_R15_Main_,R15,S09,30.42573997,1.5,98.4,0.0,0.200846351074906,1.32053908556865,0.0,0.0,0.0,0.0,0.6587266548931601,402.8784069,81.16370905,25166.33906,4665.407112,85.98088217,57.89225776,506.2337344,85.49271142,2090.551925,3349.436264
DDB_PD_065_AMBR_R15__S10,DDB_PD_065_AMBR,DDB_PD_065_AMBR_SDT169-001_R15_Main_,R15,S10,33.42843039,2.0,126.2,0.0,0.2295506282435705,1.14142914904992,0.0,0.0,0.0,0.0,0.757180636513885,380.1045077,91.68506203,21706.66217,3966.092436,99.19101275,42.99621134,396.8079431,77.47881879,1872.803631,2612.31421
DDB_PD_065_AMBR_R16__S00,DDB_PD_065_AMBR,DDB_PD_065_AMBR_SDT172-001_R16_Main_,R16,S00,0.0,1.5,0.24,24.186318952003,0.0,1.7448871364440248,0.0,0.0,0.0,0.0,0.0,453.1912584,421.3391581,37812.72393,4633.814553,31.14653457,350.5341481,724.773566,61.45376525,1767.794228,5497.375525
DDB_PD_065_AMBR_R16__S01,DDB_PD_065_AMBR,DDB_PD_065_AMBR_SDT172-001_R16_Main_,R16,S01,3.07465474,1.5,0.59,24.418978171971148,0.136622858202601,1.821307110151845,0.0,0.0,0.0,0.0,0.0,442.9336517,406.7657025,39541.12419,6023.36982,38.35843659,342.8479426,711.2707291,82.00861255,2530.010759,5281.786674
DDB_PD_065_AMBR_R16__S02,DDB_PD_065_AMBR,DDB_PD_065_AMBR_SDT172-001_R16_Main_,R16,S02,6.076920371,1.5,1.26,22.102154914287148,0.23855722635102,1.73028011037333,0.0,0.0,0.0,0.7200081840879801,0.0,443.5912018,408.1729909,39293.48323,6022.661611,45.78512215,344.60142,702.157228,71.5812749,2373.571208,5262.953996
DDB_PD_065_AMBR_R16__S03,DDB_PD_065_AMBR,DDB_PD_065_AMBR_SDT172-001_R16_Main_,R16,S03,9.074001484,3.5,3.46,19.50377654537595,0.504395799772255,1.7951963175382,0.0,0.4851157126046795,1.10078603774316,1.083910532804395,0.0,441.384361,350.4987532,40773.0033,5119.4556,60.79778156,342.8338613,704.0557714,70.32279514,2024.365622,5321.252005
DDB_PD_065_AMBR_R16__S04,DDB_PD_065_AMBR,DDB_PD_065_AMBR_SDT172-001_R16_Main_,R16,S04,12.07576359,1.5,12.3,15.415794905051301,0.81180299231646,1.761402429456935,0.1688328005238385,0.80962559821729,1.369142327644075,0.58777824075956,0.17115503188179002,427.3270918,190.8622578,40386.86146,5086.881707,58.76505665,243.707208,664.5874723,61.10667429,1795.384276,5034.713634
DDB_PD_065_AMBR_R16__S05,DDB_PD_065_AMBR,DDB_PD_065_AMBR_SDT172-001_R16_Main_,R16,S05,17.14940523,1.5,37.1,0.0,0.0750798104209465,1.27648829285814,0.0,0.0,0.0,0.0,0.0,452.072464,177.047266,39635.28572,4487.357838,29.07570207,299.6772031,692.9233518,80.15261393,1959.727831,5040.378207
DDB_PD_065_AMBR_R16__S06,DDB_PD_065_AMBR,DDB_PD_065_AMBR_SDT172-001_R16_Main_,R16,S06,20.15094786,1.5,68.6,0.0,0.1500275566029095,1.684928200643335,0.0,0.0,0.0,0.0,0.0,443.9765154,176.7262218,37509.31501,4917.762011,57.7566618,200.6378092,565.588009,78.82827657,2051.24486,4720.022826
DDB_PD_065_AMBR_R16__S07,DDB_PD_065_AMBR,DDB_PD_065_AMBR_SDT172-001_R16_Main_,R16,S07,23.14954921,1.5,70.5,0.0,0.19942024732768002,1.625520186036185,0.0,0.0,0.0,0.0,0.57671305333135,436.9325961,210.3627999,35229.21842,4677.987067,74.10048441,132.4389104,642.1226821,82.11643911,2047.087639,4387.981405
DDB_PD_065_AMBR_R16__S08,DDB_PD_065_AMBR,DDB_PD_065_AMBR_SDT172-001_R16_Main_,R16,S08,26.15217037,1.5,94.3,0.0,0.0,1.40059784386238,0.0,0.0,0.064742351023801,0.0,0.81603587715423,434.7682865,162.4961187,31113.72591,4496.437516,105.2688648,74.67106734,586.2370464,81.29745559,2012.432416,4039.186191
DDB_PD_065_AMBR_R16__S09,DDB_PD_065_AMBR,DDB_PD_065_AMBR_SDT172-001_R16_Main_,R16,S09,29.15055558,1.5,114.9,0.0,0.2492175887917885,1.31267474812124,0.0,0.0,0.0,0.0,0.80452980378113,403.8000592,112.2755147,26580.4767,4090.474988,126.036233,49.79066174,487.9728102,76.00831481,1935.498834,3254.681751
DDB_PD_065_AMBR_R16__S10,DDB_PD_065_AMBR,DDB_PD_065_AMBR_SDT172-001_R16_Main_,R16,S10,32.15274731,2.0,146.9,0.0,0.2352069076344575,1.1139276101639801,0.0,0.0,0.101273801333404,0.0,0.890900500477805,375.1058876,92.10451799,21741.25736,4012.460187,153.3698941,32.9754042,389.5592807,71.79280803,1909.313768,2430.78295
DDB_PD_065_AMBR_R17__S00,DDB_PD_065_AMBR,DDB_PD_065_AMBR_SDT172-001_R17_Main_,R17,S00,0.0,1.5,0.21,24.44065580229495,0.0,1.764129552456545,0.0,0.0,0.0,0.0,0.0,452.5863817,420.8276882,38736.86792,5257.623018,65.09511645,357.2454943,716.5394133,76.52334665,2164.949578,5433.20372
DDB_PD_065_AMBR_R17__S01,DDB_PD_065_AMBR,DDB_PD_065_AMBR_SDT172-001_R17_Main_,R17,S01,3.095293088,1.5,0.65,24.531883605322097,0.1408169034469115,1.796230669086275,0.0,0.0,0.0,0.0,0.0,440.3016182,411.5499508,39802.22726,5751.879605,69.88290858,339.3862118,702.9273605,61.78796688,2151.136697,5359.203764
DDB_PD_065_AMBR_R17__S02,DDB_PD_065_AMBR,DDB_PD_065_AMBR_SDT172-001_R17_Main_,R17,S02,6.107866904,1.5,1.23,22.70981075581645,0.2323214015744525,1.782082766291785,0.0,0.196712306308616,0.3076067732373265,0.7665760389541,0.0,431.2524554,398.2802213,38962.52695,4961.951579,58.26998374,340.2923038,685.9178438,58.88117718,1918.664322,5264.09675
DDB_PD_065_AMBR_R17__S03,DDB_PD_065_AMBR,DDB_PD_065_AMBR_SDT172-001_R17_Main_,R17,S03,9.093659104,3.5,3.25,20.200510314781347,0.4552415812684685,1.786022254386175,0.0,0.4409559393698595,0.91910962801519,1.00603438494071,0.086746821038075,431.3725089,323.6396925,38758.869,5481.600047,63.04949414,319.9011324,664.8632908,68.79386496,2106.968294,5088.476182
DDB_PD_065_AMBR_R17__S04,DDB_PD_065_AMBR,DDB_PD_065_AMBR_SDT172-001_R17_Main_,R17,S04,12.0964605,1.5,8.9,15.4382861268002,0.7782259844470201,1.75746738965569,0.0,0.7912513584383051,1.53168073453521,0.59897666367292,0.0,429.0629744,192.9095792,39574.04937,5229.561596,60.00850559,236.5383573,685.3351232,68.41282508,2107.120818,5089.794552
DDB_PD_065_AMBR_R17__S05,DDB_PD_065_AMBR,DDB_PD_065_AMBR_SDT172-001_R17_Main_,R17,S05,17.37270128,1.5,36.8,0.0,0.0,1.7529164176757899,0.0,0.0,0.0,0.0,0.0,446.9074742,158.7934619,37892.60715,4752.768645,30.17937861,281.8816554,667.3996495,76.61143685,1965.782155,4901.906132
