Time,DO,pH,Stirrer_speed,Temperature,Pressure,Air_flow,Oxygen_flow,Inlet_air_O2,Offgas_O2,Offgas_CO2,CTR,Formed_CO2,OTR,Consumed_O2,RQ,Feed_rate_volumetric,Feed_volume,Base_rate,Base_volume,Liquid_volume,Acid_volume,Acid_rate,Reflectance,Experiment,Reactor/Plate/Flask Number,Parent Culture,Base Medium,Container ID (calculated),Container Type,Control?,Culture Type,Experiment Annotation,growth_rate,Feed Medium #1,Replicate #,Seed,Strain Batch,Strain Genotype,Initial Culture VolumeNone,Culture Volume Unit,Starting OD,Temperature Setpoint (C),Feed #1 Profile,pH Setpoint,pH Control Base Solution,DO Control Setpoint (%),DO Control Cascade Level 1,DO Control Cascade Level 2,DO Control Cascade Level 3,Minimum Aeration (slpm),Maximum Aeration (slpm),Minimum Stirring or Shaking Speed (rpm),Maximum Stirring or Shaking Speed (rpm),Aeration Gas Type,Phase
0.0,98.8557027006123,6.48899706119087,1001.0,29.8700008392334,2.14683759547067,99.884351432394,0,20.95,20.7200058349504,0.0,0.0,,,,,0.0,,0.0,0.724980213999999,99.831283125561,,,3.33550072732991,DDB_PD_073_AMBR,R01,DDB_PD_073_AMBR_DDB35-001_R01_Main_,DDB_BM_003,R01,AMBR 250,No,Main,DDB Trace Metals,0.11,DDB_FM_003,1,DDB_PD_073_AMBR_DDB35-001_1_Pre-Final_,DDB35-001,Escherichia coli BW25113 del_fhuA,100,mL,0.2,30,DDB_Feed_Profile_DDB-II (only exponential feed),6.5,Ammonium hydroxide 15%,40,Stirring,Aeration,Oxygen,0.1,0.25,1000,4000,Air,batch
0.0333333333333333,96.8767861708853,6.48906428426662,998.12793693688,29.9302135382843,2.30691911898024,100.03097691887,0,20.95,20.7201272613536,0.0,0.0,0.0,,,,0.0,,0.0,0.724980213999999,102.82917193174,,,3.26326772097234,DDB_PD_073_AMBR,R01,DDB_PD_073_AMBR_DDB35-001_R01_Main_,DDB_BM_003,R01,AMBR 250,No,Main,DDB Trace Metals,0.11,DDB_FM_003,1,DDB_PD_073_AMBR_DDB35-001_1_Pre-Final_,DDB35-001,Escherichia coli BW25113 del_fhuA,100,mL,0.2,30,DDB_Feed_Profile_DDB-II (only exponential feed),6.5,Ammonium hydroxide 15%,40,Stirring,Aeration,Oxygen,0.1,0.25,1000,4000,Air,batch
0.0666666666666667,95.9047092968225,6.49094759631425,1001.0262914865,29.9897368502356,2.16628824534336,99.8983964589326,0,20.95,20.7339204211868,0.0,0.0,0.0,,,,0.0,,0.0,0.724980213999999,102.827269426621,,,3.31731033325195,DDB_PD_073_AMBR,R01,DDB_PD_073_AMBR_DDB35-001_R01_Main_,DDB_BM_003,R01,AMBR 250,No,Main,DDB Trace Metals,0.11,DDB_FM_003,1,DDB_PD_073_AMBR_DDB35-001_1_Pre-Final_,DDB35-001,Escherichia coli BW25113 del_fhuA,100,mL,0.2,30,DDB_Feed_Profile_DDB-II (only exponential feed),6.5,Ammonium hydroxide 15%,40,Stirring,Aeration,Oxygen,0.1,0.25,1000,4000,Air,batch
0.1,95.2563325276344,6.49000024795532,1002.46867131225,30.0100002288818,1.96686773870025,99.9612133623612,0,20.95,20.7337716651107,0.0,0.0,0.0,,,,0.0,,0.0,0.724980213999999,101.085152691119,,,3.05619321793016,DDB_PD_073_AMBR,R01,DDB_PD_073_AMBR_DDB35-001_R01_Main_,DDB_BM_003,R01,AMBR 250,No,Main,DDB Trace Metals,0.11,DDB_FM_003,1,DDB_PD_073_AMBR_DDB35-001_1_Pre-Final_,DDB35-001,Escherichia coli BW25113 del_fhuA,100,mL,0.2,30,DDB_Feed_Profile_DDB-II (only exponential feed),6.5,Ammonium hydroxide 15%,40,Stirring,Aeration,Oxygen,0.1,0.25,1000,4000,Air,batch
0.133333333333333,95.2540190887523,6.49264851150542,1000.23436299456,30.0300006866455,2.21822566402122,100.101280640373,0,20.95,20.7268821657093,0.0008828185446526,0.0,0.0,,,,0.0,,0.0,0.724980213999999,101.083039995528,,,3.32942093362449,DDB_PD_073_AMBR,R01,DDB_PD_073_AMBR_DDB35-001_R01_Main_,DDB_BM_003,R01,AMBR 250,No,Main,DDB Trace Metals,0.11,DDB_FM_003,1,DDB_PD_073_AMBR_DDB35-001_1_Pre-Final_,DDB35-001,Escherichia coli BW25113 del_fhuA,100,mL,0.2,30,DDB_Feed_Profile_DDB-II (only exponential feed),6.5,Ammonium hydroxide 15%,40,Stirring,Aeration,Oxygen,0.1,0.25,1000,4000,Air,batch
0.166666666666667,94.6056499062267,6.49052772128345,999.175837187258,30.0300006866455,2.31061723801356,100.047737526389,0,20.95,20.7255279386435,0.0,0.0,0.0,,,,0.0,,0.0,0.724980213999999,101.080921753526,,,2.84401715260118,DDB_PD_073_AMBR,R01,DDB_PD_073_AMBR_DDB35-001_R01_Main_,DDB_BM_003,R01,AMBR 250,No,Main,DDB Trace Metals,0.11,DDB_FM_003,1,DDB_PD_073_AMBR_DDB35-001_1_Pre-Final_,DDB35-001,Escherichia coli BW25113 del_fhuA,100,mL,0.2,30,DDB_Feed_Profile_DDB-II (only exponential feed),6.5,Ammonium hydroxide 15%,40,Stirring,Aeration,Oxygen,0.1,0.25,1000,4000,Air,batch
0.2,94.3370413804905,6.49122323447917,1000.33077448574,30.0300006866455,2.35463066642194,100.017238459252,0,20.95,20.7247774288371,0.0,0.0,0.0,,,,0.0,,0.0,0.724980213999999,101.07880542021,,,3.06460513396637,DDB_PD_073_AMBR,R01,DDB_PD_073_AMBR_DDB35-001_R01_Main_,DDB_BM_003,R01,AMBR 250,No,Main,DDB Trace Metals,0.11,DDB_FM_003,1,DDB_PD_073_AMBR_DDB35-001_1_Pre-Final_,DDB35-001,Escherichia coli BW25113 del_fhuA,100,mL,0.2,30,DDB_Feed_Profile_DDB-II (only exponential feed),6.5,Ammonium hydroxide 15%,40,Stirring,Aeration,Oxygen,0.1,0.25,1000,4000,Air,batch
0.233333333333333,93.9930501422276,6.49173769401239,998.262428005019,30.0200004577637,2.35266935889402,100.018157281128,0,20.95,20.7274755726294,0.0,0.0,0.0,,,,0.0,,0.0,0.724980213999999,101.076692287086,,,3.15425688837186,DDB_PD_073_AMBR,R01,DDB_PD_073_AMBR_DDB35-001_R01_Main_,DDB_BM_003,R01,AMBR 250,No,Main,DDB Trace Metals,0.11,DDB_FM_003,1,DDB_PD_073_AMBR_DDB35-001_1_Pre-Final_,DDB35-001,Escherichia coli BW25113 del_fhuA,100,mL,0.2,30,DDB_Feed_Profile_DDB-II (only exponential feed),6.5,Ammonium hydroxide 15%,40,Stirring,Aeration,Oxygen,0.1,0.25,1000,4000,Air,batch
0.266666666666667,93.7076086357826,6.48857370888901,998.573357531717,30.0200004577637,2.0916358814435,99.7788721589231,0,20.95,20.7261470134201,0.0010000000474974,0.0027147204784972,7.4505225533736e-08,,,,0.0,,0.0,0.724980213999999,101.074581216132,,,3.06634850158805,DDB_PD_073_AMBR,R01,DDB_PD_073_AMBR_DDB35-001_R01_Main_,DDB_BM_003,R01,AMBR 250,No,Main,DDB Trace Metals,0.11,DDB_FM_003,1,DDB_PD_073_AMBR_DDB35-001_1_Pre-Final_,DDB35-001,Escherichia coli BW25113 del_fhuA,100,mL,0.2,30,DDB_Feed_Profile_DDB-II (only exponential feed),6.5,Ammonium hydroxide 15%,40,Stirring,Aeration,Oxygen,0.1,0.25,1000,4000,Air,batch
0.3,93.41400360514,6.49000024795532,999.277434074355,30.0200004577637,2.1457188748404,100.037436826834,0,20.95,20.7219588297839,0.0010000000474974,0.0027138574102456,1.64968128459217e-07,,,,0.0,,0.0,0.724980213999999,101.072469694093,,,3.0491694025342,DDB_PD_073_AMBR,R01,DDB_PD_073_AMBR_DDB35-001_R01_Main_,DDB_BM_003,R01,AMBR 250,No,Main,DDB Trace Metals,0.11,DDB_FM_003,1,DDB_PD_073_AMBR_DDB35-001_1_Pre-Final_,DDB35-001,Escherichia coli BW25113 del_fhuA,100,mL,0.2,30,DDB_Feed_Profile_DDB-II (only exponential feed),6.5,Ammonium hydroxide 15%,40,Stirring,Aeration,Oxygen,0.1,0.25,1000,4000,Air,batch
