Parent Culture,Base Medium,Container ID (calculated),Container Type,Culture Type,Experiment,Experiment Annotation,growth_rate,Feed Medium #1,Reactor/Plate/Flask Number,Replicate #,Seed,Strain Batch,Strain Genotype,Initial Culture VolumeNone,Culture Volume Unit,Temperature Setpoint (C),pH Setpoint,pH Control Base Solution,DO Control Setpoint (%),DO Control Cascade Level 1,DO Control Cascade Level 2,DO Control Cascade Level 3,Minimum Aeration (slpm),Maximum Aeration (slpm),Minimum Stirring or Shaking Speed (rpm),Maximum Stirring or Shaking Speed (rpm),Aeration Gas Type,Condition
DDB_PD_116_AMBR_DDB35-005_R11_Main_,DDB_BM_016,R11,AMBR 250,Main,DDB_PD_116_AMBR,DDB HDP,0.05,DDB_FM_016,R11,1,DDB_PD_116_AMBR_DDB35-005_R01_Pre-Final_,DDB35-005,Escherichia coli BW25113 del_fhuA,100,mL,30,6.5,Ammonium hydroxide 8%,40,Stirring,Aeration,Oxygen,0.1,0.25,1000,4000,Air,mu = 0.05 exponential feed
DDB_PD_116_AMBR_DDB35-005_R12_Main_,DDB_BM_016,R12,AMBR 250,Main,DDB_PD_116_AMBR,DDB HDP,0.05,DDB_FM_016,R12,2,DDB_PD_116_AMBR_DDB35-005_R01_Pre-Final_,DDB35-005,Escherichia coli BW25113 del_fhuA,100,mL,30,6.5,Ammonium hydroxide 8%,40,Stirring,Aeration,Oxygen,0.1,0.25,1000,4000,Air,mu = 0.05 exponential feed
DDB_PD_116_AMBR_DDB35-005_R13_Main_,DDB_BM_016,R13,AMBR 250,Main,DDB_PD_116_AMBR,DDB HDP,0.05,DDB_FM_016,R13,3,DDB_PD_116_AMBR_DDB35-005_R01_Pre-Final_,DDB35-005,Escherichia coli BW25113 del_fhuA,100,mL,30,6.5,Ammonium hydroxide 8%,40,Stirring,Aeration,Oxygen,0.1,0.25,1000,4000,Air,mu = 0.05 exponential feed
DDB_PD_116_AMBR_DDB35-005_R14_Main_,DDB_BM_016,R14,AMBR 250,Main,DDB_PD_116_AMBR,DDB HDP,0.1,DDB_FM_016,R14,1,DDB_PD_116_AMBR_DDB35-005_R01_Pre-Final_,DDB35-005,Escherichia coli BW25113 del_fhuA,100,mL,30,6.5,Ammonium hydroxide 8%,40,Stirring,Aeration,Oxygen,0.1,0.25,1000,4000,Air,mu = 0.1 exponential feed
DDB_PD_116_AMBR_DDB35-005_R15_Main_,DDB_BM_016,R15,AMBR 250,Main,DDB_PD_116_AMBR,DDB HDP,0.1,DDB_FM_016,R15,2,DDB_PD_116_AMBR_DDB35-005_R01_Pre-Final_,DDB35-005,Escherichia coli BW25113 del_fhuA,100,mL,30,6.5,Ammonium hydroxide 8%,40,Stirring,Aeration,Oxygen,0.1,0.25,1000,4000,Air,mu = 0.1 exponential feed
DDB_PD_116_AMBR_DDB35-005_R16_Main_,DDB_BM_016,R16,AMBR 250,Main,DDB_PD_116_AMBR,DDB HDP,0.1,DDB_FM_016,R16,3,DDB_PD_116_AMBR_DDB35-005_R01_Pre-Final_,DDB35-005,Escherichia coli BW25113 del_fhuA,100,mL,30,6.5,Ammonium hydroxide 8%,40,Stirring,Aeration,Oxygen,0.1,0.25,1000,4000,Air,mu = 0.1 exponential feed
DDB_PD_116_AMBR_HMP3071-002_R17_Main_,DDB_BM_016,R17,AMBR 250,Main,DDB_PD_116_AMBR,DDB HDP,0.05,DDB_FM_016,R17,1,DDB_PD_116_AMBR_HMP3071-002_R02_Pre-Final_,HMP3071-002,HMP3071,100,mL,30,6.5,Ammonium hydroxide 8%,40,Stirring,Aeration,Oxygen,0.1,0.25,1000,4000,Air,mu = 0.05 exponential feed
DDB_PD_116_AMBR_HMP3071-002_R18_Main_,DDB_BM_016,R18,AMBR 250,Main,DDB_PD_116_AMBR,DDB HDP,0.05,DDB_FM_016,R18,2,DDB_PD_116_AMBR_HMP3071-002_R02_Pre-Final_,HMP3071-002,HMP3071,100,mL,30,6.5,Ammonium hydroxide 8%,40,Stirring,Aeration,Oxygen,0.1,0.25,1000,4000,Air,mu = 0.05 exponential feed
DDB_PD_116_AMBR_HMP3071-002_R19_Main_,DDB_BM_016,R19,AMBR 250,Main,DDB_PD_116_AMBR,DDB HDP,0.05,DDB_FM_016,R19,3,DDB_PD_116_AMBR_HMP3071-002_R02_Pre-Final_,HMP3071-002,HMP3071,100,mL,30,6.5,Ammonium hydroxide 8%,40,Stirring,Aeration,Oxygen,0.1,0.25,1000,4000,Air,mu = 0.05 exponential feed
DDB_PD_116_AMBR_HMP3071-002_R20_Main_,DDB_BM_016,R20,AMBR 250,Main,DDB_PD_116_AMBR,DDB HDP,0.1,DDB_FM_016,R20,1,DDB_PD_116_AMBR_HMP3071-002_R02_Pre-Final_,HMP3071-002,HMP3071,100,mL,30,6.5,Ammonium hydroxide 8%,40,Stirring,Aeration,Oxygen,0.1,0.25,1000,4000,Air,mu = 0.1 exponential feed
