Timepoint Sample,Experiment,Parent Culture,Reactor/Plate/Flask Number,Timepoint (#),Timepoint (h),Sample volume (mL),OD,D-glucose [g/L],acetic acid [g/L],citric acid [g/L],lactate [g/L],potassium dihydrogen phosphate [g/L],pyruvic acid [g/L],tryptophan [g/L]
DDB_PD_116_AMBR_R11__S00,DDB_PD_116_AMBR,DDB_PD_116_AMBR_DDB35-005_R11_Main_,R11,S00,0.0,0.0,,9.506520349729,0.0,0.0,0.0,5.4900650052998,0.0,
DDB_PD_116_AMBR_R11__S01,DDB_PD_116_AMBR,DDB_PD_116_AMBR_DDB35-005_R11_Main_,R11,S01,12.01996121,5.48,13.4,10.5633218841933,1.47008584283402,0.496488103544272,2.004234356663865,13.310650977986,0.20772349926023798,
DDB_PD_116_AMBR_R11__S02,DDB_PD_116_AMBR,DDB_PD_116_AMBR_DDB35-005_R11_Main_,R11,S02,15.01996121,3.24,41.9,0.0,0.11515677708351751,0.43388896068835603,0.0,12.5084035405202,0.0,
DDB_PD_116_AMBR_R11__S03,DDB_PD_116_AMBR,DDB_PD_116_AMBR_DDB35-005_R11_Main_,R11,S03,35.08718344,3.24,99.8,0.0,0.2434296584957735,0.0,0.0,11.570997444581199,0.0,
DDB_PD_116_AMBR_R11__S04,DDB_PD_116_AMBR,DDB_PD_116_AMBR_DDB35-005_R11_Main_,R11,S04,55.07079455,4.48,206.8,0.0,0.1337853740106165,0.0,0.0,9.13837466469015,0.0,
DDB_PD_116_AMBR_R11__S05,DDB_PD_116_AMBR,DDB_PD_116_AMBR_DDB35-005_R11_Main_,R11,S05,75.02218344,3.74,299.40000000000003,0.0,0.10878161111101599,0.0,0.0,3.2198110265873647,0.0,
DDB_PD_116_AMBR_R12__S00,DDB_PD_116_AMBR,DDB_PD_116_AMBR_DDB35-005_R12_Main_,R12,S00,0.0,0.0,,9.77382995123885,0.0,0.0,0.0,5.65571758781555,0.0,
DDB_PD_116_AMBR_R12__S01,DDB_PD_116_AMBR,DDB_PD_116_AMBR_DDB35-005_R12_Main_,R12,S01,12.06576374,5.48,13.64,10.3558079923709,1.47078638026608,0.506647340643495,1.9968709216802698,13.3374384166868,0.20216064467593697,
DDB_PD_116_AMBR_R12__S02,DDB_PD_116_AMBR,DDB_PD_116_AMBR_DDB35-005_R12_Main_,R12,S02,14.96354152,3.24,44.1,0.0,0.21515791046129748,0.39679513112487746,0.0,12.43905090312065,0.0,
DDB_PD_116_AMBR_R12__S03,DDB_PD_116_AMBR,DDB_PD_116_AMBR_DDB35-005_R12_Main_,R12,S03,35.03854152,3.24,98.9,0.0,0.256936331847618,0.0,0.0,11.68544735998405,0.0,
DDB_PD_116_AMBR_R12__S04,DDB_PD_116_AMBR,DDB_PD_116_AMBR_DDB35-005_R12_Main_,R12,S04,54.97131929,4.48,218.00000000000003,0.0,0.1327541719618935,0.0,0.0,10.00903479975385,0.0,
DDB_PD_116_AMBR_R12__S05,DDB_PD_116_AMBR,DDB_PD_116_AMBR_DDB35-005_R12_Main_,R12,S05,74.96576374,3.74,299.40000000000003,0.0,0.106693267256067,0.0,0.0,3.137818633050125,0.0,
DDB_PD_116_AMBR_R13__S00,DDB_PD_116_AMBR,DDB_PD_116_AMBR_DDB35-005_R13_Main_,R13,S00,0.0,0.0,,9.68075312127315,0.0,0.0,0.0,5.5946582191851,0.0,
DDB_PD_116_AMBR_R13__S01,DDB_PD_116_AMBR,DDB_PD_116_AMBR_DDB35-005_R13_Main_,R13,S01,12.06077193,5.48,14.18,10.04800355616155,1.516585473016005,0.50659204733803,1.95943587921446,13.33596277538825,0.19458374729711703,
DDB_PD_116_AMBR_R13__S02,DDB_PD_116_AMBR,DDB_PD_116_AMBR_DDB35-005_R13_Main_,R13,S02,14.84882749,3.24,43.4,0.0,0.2190900700594025,0.47365724166433054,0.0,12.53704078219985,0.0,
DDB_PD_116_AMBR_R13__S03,DDB_PD_116_AMBR,DDB_PD_116_AMBR_DDB35-005_R13_Main_,R13,S03,34.85104971,3.24,100.89999999999999,0.0,0.2637939605364925,0.0,0.0,11.6623600929324,0.0,
DDB_PD_116_AMBR_R13__S04,DDB_PD_116_AMBR,DDB_PD_116_AMBR_DDB35-005_R13_Main_,R13,S04,54.83466082,4.48,199.4,0.0,0.20067200992181,0.0,0.0,8.9357860203338,0.0,
DDB_PD_116_AMBR_R13__S05,DDB_PD_116_AMBR,DDB_PD_116_AMBR_DDB35-005_R13_Main_,R13,S05,74.83438305,3.74,301.0,0.0,0.1414601716067385,0.0,0.0,3.1139300155689846,0.0,
DDB_PD_116_AMBR_R14__S00,DDB_PD_116_AMBR,DDB_PD_116_AMBR_DDB35-005_R14_Main_,R14,S00,0.0,0.0,,9.73133779543995,0.0,0.0,0.0,5.6235780311826,0.0,
DDB_PD_116_AMBR_R14__S01,DDB_PD_116_AMBR,DDB_PD_116_AMBR_DDB35-005_R14_Main_,R14,S01,12.05520902,5.48,14.26,9.9435282731259,1.529935757112845,0.502546622138495,2.0145928212987902,13.4205654967846,0.193248220972073,
DDB_PD_116_AMBR_R14__S02,DDB_PD_116_AMBR,DDB_PD_116_AMBR_DDB35-005_R14_Main_,R14,S02,14.84437568,3.24,43.1,0.0,0.18605239033422452,0.4422508345439585,0.0,12.51918731002325,0.0,
DDB_PD_116_AMBR_R14__S03,DDB_PD_116_AMBR,DDB_PD_116_AMBR_DDB35-005_R14_Main_,R14,S03,24.82270902,3.24,121.9,0.0,0.10573267643278801,0.4279977003578125,0.0,14.56269494701785,0.0,
DDB_PD_116_AMBR_R14__S04,DDB_PD_116_AMBR,DDB_PD_116_AMBR_DDB35-005_R14_Main_,R14,S04,34.84687568,4.48,193.2,0.0,0.129409582849917,0.225760298819003,0.0,8.218483657019549,0.0,
DDB_PD_116_AMBR_R14__S05,DDB_PD_116_AMBR,DDB_PD_116_AMBR_DDB35-005_R14_Main_,R14,S05,44.82493124,3.74,316.2,0.0,0.1077565115050535,0.16197425500018,0.18706973367459748,3.07134291807388,0.0,
DDB_PD_116_AMBR_R15__S00,DDB_PD_116_AMBR,DDB_PD_116_AMBR_DDB35-005_R15_Main_,R15,S00,0.0,0.0,,9.5941323107673,0.0,0.0,0.0,5.5402358767628,0.0,
DDB_PD_116_AMBR_R15__S01,DDB_PD_116_AMBR,DDB_PD_116_AMBR_DDB35-005_R15_Main_,R15,S01,12.10183724,5.48,14.96,9.7404471270464,1.512384433440785,0.51375298536059,2.01885677609915,13.40293807500415,0.190211112068043,
DDB_PD_116_AMBR_R15__S02,DDB_PD_116_AMBR,DDB_PD_116_AMBR_DDB35-005_R15_Main_,R15,S02,14.77294835,3.24,42.699999999999996,0.0,0.20222496727135103,0.477140128956223,0.0,12.76422849280755,0.0,
DDB_PD_116_AMBR_R15__S03,DDB_PD_116_AMBR,DDB_PD_116_AMBR_DDB35-005_R15_Main_,R15,S03,24.7735039,3.24,106.80000000000001,0.0,0.1232300793879,0.373835381907649,0.0,12.755738421923152,0.0,
