Timepoint Sample,Experiment,Parent Culture,Reactor/Plate/Flask Number,Timepoint (#),Timepoint (h),Sample volume (mL),OD,D-glucose [g/L],acetic acid [g/L],citric acid [g/L],ethanol [g/L],formic acid [g/L],lactate [g/L],lactose [g/L],potassium dihydrogen phosphate [g/L],pyruvic acid [g/L],succinic acid [g/L],CDW_1 [g/L],CDW_2 [g/L],CDW_3 [g/L]
DDB_PD_121_AMBR_R05__S01,DDB_PD_121_AMBR,DDB_PD_121_AMBR_DDB35-006_R05_Main_,R05,S01,12.0370181,7.0,15.46,8.1075302613343,0.784743619438075,0.180055973568254,0.115675155191772,0.6610295913797499,0.2529346665214055,0.0,9.888320161923701,0.0,0.091907747156788,5.599999999999827,5.400000000000071,5.800000000000027
DDB_PD_121_AMBR_R05__S02,DDB_PD_121_AMBR,DDB_PD_121_AMBR_DDB35-006_R05_Main_,R05,S02,14.84236789,5.0,36.575,0.0,0.3009748300044645,0.1994647233663495,0.0,0.0,0.0,0.0,10.3229855156035,0.0,0.06522102446998,10.89999999999991,10.79999999999992,10.599999999999943
DDB_PD_121_AMBR_R05__S03,DDB_PD_121_AMBR,DDB_PD_121_AMBR_DDB35-006_R05_Main_,R05,S03,34.87776925,5.5,97.25,0.0,0.0,0.2165149503770985,0.0,0.0,0.0,0.0,10.3357527779316,0.0,0.0391471376531967,21.714285714285545,26.571428571428818,23.571428571428513
DDB_PD_121_AMBR_R05__S04,DDB_PD_121_AMBR,DDB_PD_121_AMBR_DDB35-006_R05_Main_,R05,S04,54.87780861,5.5,186.6,0.0,0.0313583158469516,0.0,0.12526464092439352,0.0,0.0,0.0,7.395321890143601,0.0,0.0756338043074505,54.09999999999982,54.79999999999996,53.599999999999866
DDB_PD_121_AMBR_R05__S05,DDB_PD_121_AMBR,DDB_PD_121_AMBR_DDB35-006_R05_Main_,R05,S05,74.87903703,7.5,337.2,0.0,0.105801430256004,0.0,0.0,0.0,0.0,0.0,3.451482746346815,0.0,0.615143392507535,93.30000000000015,93.49999999999991,93.50000000000014
DDB_PD_121_AMBR_R07__S01,DDB_PD_121_AMBR,DDB_PD_121_AMBR_SDT173-002_R07_Main_,R07,S01,12.02959624,7.0,11.9,9.359619914577701,0.73766046495659,0.134920681113186,0.118723245001769,0.590900571605785,0.200074666832408,0.0,9.9458487298275,0.0,0.0618072813148515,5.599999999999827,4.7000000000001485,5.300000000000082
DDB_PD_121_AMBR_R07__S02,DDB_PD_121_AMBR,DDB_PD_121_AMBR_SDT173-002_R07_Main_,R07,S02,15.54983236,5.0,35.65,0.0,0.14445686695638751,0.2336788712428205,0.12286751590709451,0.0,0.0,0.0,11.35141958317485,0.0,0.0838861449643935,10.499999999999954,10.299999999999976,10.099999999999998
DDB_PD_121_AMBR_R07__S03,DDB_PD_121_AMBR,DDB_PD_121_AMBR_SDT173-002_R07_Main_,R07,S03,35.59032575,5.5,65.8,0.0,0.0,0.200987402233295,0.0,0.0,0.0,0.0,10.522604198989951,0.0,0.0,25.714285714285737,25.714285714285737,20.999999999999908
DDB_PD_121_AMBR_R07__S04,DDB_PD_121_AMBR,DDB_PD_121_AMBR_SDT173-002_R07_Main_,R07,S04,55.59317061,5.5,147.2,0.0,0.0,0.2150413107217975,0.0,0.0,0.0,0.0,7.83943937581285,0.0,0.0,51.20000000000013,49.79999999999984,48.89999999999994
DDB_PD_121_AMBR_R07__S05,DDB_PD_121_AMBR,DDB_PD_121_AMBR_SDT173-002_R07_Main_,R07,S05,75.59158083,7.5,277.5,0.0,0.1082150028408125,0.307671895896112,0.0,0.0,0.1728960126506275,0.0,4.3047736769038805,0.0,0.73028842832861,85.19999999999995,84.89999999999998,84.3999999999998
DDB_PD_121_AMBR_R09__S01,DDB_PD_121_AMBR,DDB_PD_121_AMBR_SDT178-002_R09_Main_,R09,S01,12.1069488,7.0,4.98,13.18900839205295,0.6125831029754301,0.1917609627879575,0.0,0.0,0.099524942930746,0.0,9.8667873379446,0.0,0.0,3.1000000000001027,3.0000000000001137,3.0999999999998806
DDB_PD_121_AMBR_R09__S02,DDB_PD_121_AMBR,DDB_PD_121_AMBR_SDT178-002_R09_Main_,R09,S02,23.27095615,5.0,30.85,0.0,0.0,0.3730264293482455,0.0,0.0,0.0,0.0,11.19109150374805,0.0,0.0,9.300000000000086,9.700000000000042,9.399999999999853
DDB_PD_121_AMBR_R09__S03,DDB_PD_121_AMBR,DDB_PD_121_AMBR_SDT178-002_R09_Main_,R09,S03,43.31217832,5.5,71.45,0.0,0.0,0.479520062281375,0.0,0.0,0.0,0.0,10.370869665003,0.0,0.0,20.000000000000018,19.28571428571438,16.14285714285695
DDB_PD_121_AMBR_R09__S04,DDB_PD_121_AMBR,DDB_PD_121_AMBR_SDT178-002_R09_Main_,R09,S04,63.31168948,5.5,171.2,0.0,0.0,0.138665310495626,0.0,0.0,0.0,0.0,8.709529690643299,0.0,0.105532971383901,54.99999999999997,54.85714285714284,
