Timepoint Sample,Experiment,Parent Culture,Reactor/Plate/Flask Number,Timepoint (#),Timepoint (h),Sample volume (mL),OD,D-glucose [g/L],acetic acid [g/L],citric acid [g/L],ethanol [g/L],formic acid [g/L],lactate [g/L],potassium dihydrogen phosphate [g/L],pyruvic acid [g/L],succinic acid [g/L],CDW_1 [g/L],CDW_2 [g/L],CDW_3 [g/L]
DDB_PD_123_AMBR_R05__S01,DDB_PD_123_AMBR,DDB_PD_123_AMBR_DDB35-006_R05_Main_,R05,S01,12.11059369,7.0,16.23,6.7455246300743,0.475620760109592,0.152997081758583,0.0,0.0,0.0,7.05032303572265,0.0,0.0,4.899999999999904,4.9000000000001265,5.29999999999986
DDB_PD_123_AMBR_R05__S02,DDB_PD_123_AMBR,DDB_PD_123_AMBR_DDB35-006_R05_Main_,R05,S02,14.78608087,5.0,35.58,0.0,0.156030697182645,0.09882939647216701,0.0,0.0,0.0,4.774456218851101,0.0,0.0,10.099999999999998,9.800000000000031,10.900000000000132
DDB_PD_123_AMBR_R05__S03,DDB_PD_123_AMBR,DDB_PD_123_AMBR_DDB35-006_R05_Main_,R05,S03,34.82390501,5.5,104.225,0.0,0.0,0.1392420682761625,0.0,0.0,0.0,6.84820416205565,0.0,0.0,26.90909090909077,26.54545454545485,26.72727272727261
DDB_PD_123_AMBR_R05__S04,DDB_PD_123_AMBR,DDB_PD_123_AMBR_DDB35-006_R05_Main_,R05,S04,55.04371605,5.5,182.1,0.0,0.0,0.0,0.0,0.0,0.0,6.1197653435453505,0.0,0.266989312027336,56.09999999999982,55.90000000000006,55.20000000000014
DDB_PD_123_AMBR_R05__S05,DDB_PD_123_AMBR,DDB_PD_123_AMBR_DDB35-006_R05_Main_,R05,S05,74.82059865,7.5,350.4,0.0,0.0,0.0,0.0,0.0,0.0,1.3270664852842002,0.0,0.168171563190481,97.19999999999995,92.7,92.30000000000004
DDB_PD_123_AMBR_R07__S01,DDB_PD_123_AMBR,DDB_PD_123_AMBR_SDT173-002_R07_Main_,R07,S01,12.0306258,7.0,13.08,6.40625474801075,0.37012761841249997,0.1303292546434735,0.0,0.314752782188003,0.0,5.9186745020129,0.0,0.0,3.7000000000000366,3.8000000000000256,4.0000000000000036
DDB_PD_123_AMBR_R07__S02,DDB_PD_123_AMBR,DDB_PD_123_AMBR_SDT173-002_R07_Main_,R07,S02,15.31207439,5.0,34.04,0.0,0.1815230478200135,0.10321737756050499,0.0,0.0,0.0,5.07000273720595,0.0,0.0,10.499999999999954,9.90000000000002,10.299999999999976
DDB_PD_123_AMBR_R07__S03,DDB_PD_123_AMBR,DDB_PD_123_AMBR_SDT173-002_R07_Main_,R07,S03,35.37534755,5.5,86.65,0.0,0.0,0.134589830861059,0.0,0.0,0.0,6.197050476042651,0.0,0.0,24.90909090909099,25.454545454545475,28.54545454545463
DDB_PD_123_AMBR_R07__S04,DDB_PD_123_AMBR,DDB_PD_123_AMBR_SDT173-002_R07_Main_,R07,S04,55.48398015,5.5,154.6,0.0,0.0,0.24172197367159548,0.0,0.0,0.0,6.63469541561455,0.0,0.27847668522806,50.69999999999997,51.000000000000156,50.89999999999994
DDB_PD_123_AMBR_R07__S05,DDB_PD_123_AMBR,DDB_PD_123_AMBR_SDT173-002_R07_Main_,R07,S05,75.37465403,7.5,275.2,0.0,0.0,0.1217886303962985,0.0,0.0,0.0,1.593839234162825,0.0,0.168743013890438,86.89999999999998,86.7,86.7
DDB_PD_123_AMBR_R09__S01,DDB_PD_123_AMBR,DDB_PD_123_AMBR_SDT178-002_R09_Main_,R09,S01,12.03673935,7.0,6.13,10.43051387938225,0.4529497174305215,0.1551747279007925,0.0,0.0,0.0,7.3847395246742,0.19363548558705398,0.0,2.9000000000001247,2.3999999999999577,3.0000000000001137
DDB_PD_123_AMBR_R09__S02,DDB_PD_123_AMBR,DDB_PD_123_AMBR_SDT178-002_R09_Main_,R09,S02,22.03213941,5.0,31.3,0.0,0.0,0.1630841098575245,0.0,0.0,0.0,4.705292160305625,0.0,0.0,9.299999999999864,9.700000000000042,9.599999999999831
DDB_PD_123_AMBR_R09__S03,DDB_PD_123_AMBR,DDB_PD_123_AMBR_SDT178-002_R09_Main_,R09,S03,42.10907155,5.5,77.65,0.0,0.0,0.351984369937876,0.0,0.0,0.0,7.51833478648635,0.0,0.0,24.363636363636505,24.3636363636361,25.272727272727312
DDB_PD_123_AMBR_R09__S04,DDB_PD_123_AMBR,DDB_PD_123_AMBR_SDT178-002_R09_Main_,R09,S04,62.23090241,5.5,181.0,0.0,0.109360547947923,0.343395572104186,0.0,0.33846990459499005,0.0,9.00911495213295,0.0,0.2902530921693455,47.99999999999982,47.80000000000006,46.20000000000002
DDB_PD_123_AMBR_R09__S05,DDB_PD_123_AMBR,DDB_PD_123_AMBR_SDT178-002_R09_Main_,R09,S05,82.10044398,7.5,275.5,0.0,0.0,0.2926220964441315,0.0,0.278936481375539,0.0,3.12734106001739,0.0,0.2148625227119995,85.5999999999999,83.4999999999999,83.69999999999989
DDB_PD_123_AMBR_R11__S01,DDB_PD_123_AMBR,DDB_PD_123_AMBR_SDT180-003_R11_Main_,R11,S01,12.03523351,7.0,3.085,8.777098054082801,0.0,0.111559938940564,0.0,0.0,0.0,5.397546605644799,0.0,0.0,1.8000000000000238,2.0000000000000018,2.2999999999999687
DDB_PD_123_AMBR_R11__S02,DDB_PD_123_AMBR,DDB_PD_123_AMBR_SDT180-003_R11_Main_,R11,S02,20.87257773,5.0,34.19,0.0,0.0,0.1451887701437345,0.0,0.0,0.0,6.84004331545405,0.0,0.0,14.100000000000001,14.29999999999998,13.800000000000034
DDB_PD_123_AMBR_R11__S03,DDB_PD_123_AMBR,DDB_PD_123_AMBR_SDT180-003_R11_Main_,R11,S03,40.90949681,5.5,103.9,0.0,0.0,0.12509452032409749,0.0,0.0,0.0,9.7817884596353,0.0,0.0,29.272727272727277,28.363636363636466,28.000000000000146
DDB_PD_123_AMBR_R11__S04,DDB_PD_123_AMBR,DDB_PD_123_AMBR_SDT180-003_R11_Main_,R11,S04,61.0488571,5.5,187.0,0.0,0.0,0.0,0.0,0.0,0.0,6.57801244420535,0.0,0.13560801040113502,55.000000000000156,56.200000000000024,49.19999999999991
DDB_PD_123_AMBR_R11__S05,DDB_PD_123_AMBR,DDB_PD_123_AMBR_SDT180-003_R11_Main_,R11,S05,80.90701147,7.5,292.2,0.0,0.0,0.0,0.0,0.0,0.0,2.06543551188014,0.0,0.165439362934992,88.60000000000001,88.89999999999998,89.19999999999995
DDB_PD_123_AMBR_R13__S01,DDB_PD_123_AMBR,DDB_PD_123_AMBR_SDT201-002_R13_Main_,R13,S01,12.03541634,7.0,13.485,7.1171985275569005,0.585245763274395,0.14781913536555,0.0,0.0,0.1229227925737905,6.5529036478429505,0.0,0.0,4.0000000000000036,3.9000000000000146,4.3999999999999595
DDB_PD_123_AMBR_R13__S02,DDB_PD_123_AMBR,DDB_PD_123_AMBR_SDT201-002_R13_Main_,R13,S02,16.15704561,5.0,33.24,0.0,0.0,0.1860223486424675,0.0,0.0,0.0,8.1012279243457,0.0,0.0,10.89999999999991,10.700000000000154,11.00000000000012
DDB_PD_123_AMBR_R13__S03,DDB_PD_123_AMBR,DDB_PD_123_AMBR_SDT201-002_R13_Main_,R13,S03,36.22763009,5.5,80.95,0.0,0.0,0.21643888273525003,0.0,0.0,0.0,6.4606355737589505,0.0,0.0,20.909090909091027,25.09090909090915,25.272727272727312
DDB_PD_123_AMBR_R13__S04,DDB_PD_123_AMBR,DDB_PD_123_AMBR_SDT201-002_R13_Main_,R13,S04,56.43341553,5.5,153.45,0.0,0.0,0.2850829816961615,0.0,0.0,0.0,6.2144916357412505,0.0,0.22836340156814,55.20000000000014,54.59999999999998,54.59999999999998
DDB_PD_123_AMBR_R13__S05,DDB_PD_123_AMBR,DDB_PD_123_AMBR_SDT201-002_R13_Main_,R13,S05,76.19986837,7.5,276.9,0.0,0.0,0.24618438093964248,0.0,0.18098424151348902,0.10194637970398501,2.355238773585555,0.0,0.2888229480360805,84.60000000000001,84.19999999999983,83.5999999999999
DDB_PD_123_AMBR_R15__S01,DDB_PD_123_AMBR,DDB_PD_123_AMBR_SDT202-002_R15_Main_,R15,S01,20.03681012,7.0,16.575,7.398491782276199,0.22582532848362852,0.137532252707903,0.0,0.22235283485492402,0.0,6.70033683677905,0.0,0.0,4.9000000000001265,4.899999999999904,5.300000000000082
DDB_PD_123_AMBR_R15__S02,DDB_PD_123_AMBR,DDB_PD_123_AMBR_SDT202-002_R15_Main_,R15,S02,25.50553197,5.0,41.27,0.0,0.091345451906642,0.1224490487859435,0.0,0.0,0.0,6.41020266454965,0.0,0.0,12.699999999999934,12.699999999999934,12.799999999999923
DDB_PD_123_AMBR_R15__S03,DDB_PD_123_AMBR,DDB_PD_123_AMBR_SDT202-002_R15_Main_,R15,S03,45.54591887,5.5,97.075,0.0,0.0,0.1295171642788365,0.0,0.0,0.0,7.89731638653775,0.0,0.0,14.899999999999913,14.900000000000135,14.700000000000157
DDB_PD_123_AMBR_R15__S04,DDB_PD_123_AMBR,DDB_PD_123_AMBR_SDT202-002_R15_Main_,R15,S04,65.5469381,5.5,197.4,0.0,0.21302479935876,0.0,0.0,0.45220900312437146,0.0,3.987609713301785,0.0,0.10365007524157499,58.00000000000027,56.999999999999936,57.39999999999989
DDB_PD_123_AMBR_R15__S05,DDB_PD_123_AMBR,DDB_PD_123_AMBR_SDT202-002_R15_Main_,R15,S05,80.46511248,7.5,144.9,7.11085660798585,26.2156290643617,0.0,0.24718076569120148,3.151492690569235,1.5187399810669748,3.8279597922421797,0.133334650587475,0.38806867408268153,49.900000000000055,46.00000000000004,46.300000000000004
