Batch ID,Time,Acid flow rate,Acid volume pumped,Air flow,Base flow rate,Base volume pumped,Bioreactor pressure reading,CER - unnormalized,"CER - unnormalized, integrated",DO,Feed#1 flow rate,Feed#1 volume pumped,Inlet O2%,O2 flow,Off-gas CO2%,Off-gas O2%,OUR - unnormalized,"OUR - unnormalized, integrated",pH,RQ,Stir speed,Temperature,Volume,Reflectance
Bioreactor 1,0,NaN,NaN,100.1637203,0,1.516624568,1.420944367,0,,96.76365779,0,NaN,20.95,0,0,20.617968,NaN,,6.592032164,NaN,1002.967986,29.85000038,99.85972922,
Bioreactor 1,0.033333333,NaN,NaN,99.95978388,0,1.516624568,1.459635604,0.002711537,4.10E-08,93.65851701,0,NaN,20.95,0,0.001,20.63097181,0.165416097,6.25E-06,6.597985841,0.016392604,999.0430436,29.93014379,102.6878003,
Bioreactor 1,0.066666667,NaN,NaN,99.90309536,0,1.516624568,1.463317784,0.003174933,1.54E-07,92.2424827,0,NaN,20.95,0,0.001,20.62706446,0.171116935,1.21E-05,6.596840585,0.018180142,1001.031843,29.95000076,101.4460016,
Bioreactor 1,0.1,NaN,NaN,99.98216764,0,1.516624568,1.438494993,0.004103947,2.89E-07,91.8191468,0,NaN,20.95,0,0.002,20.61714479,0.189644515,1.84E-05,6.592649451,0.02104646,1000.072146,30,101.4438918,
Bioreactor 1,0.133333333,NaN,NaN,100.0460027,0,1.516624568,1.572393965,0.005032962,4.25E-07,91.43662076,0,NaN,20.95,0,0.002,20.6171295,0.208172094,2.47E-05,6.597742163,0.023912779,999.1289945,30.02000046,101.441778,
Bioreactor 1,0.166666667,NaN,NaN,99.8009907,0,1.516624568,1.47482971,0.005418216,5.87E-07,90.46251696,0,NaN,20.95,0,0.002,20.6138398,0.223262443,3.15E-05,6.600664372,0.024289389,1000.832185,30.03000069,101.4403267,
Bioreactor 1,0.2,NaN,NaN,99.86394411,0,1.516624568,1.560912375,0.005418123,7.67E-07,90.1847221,0,NaN,20.95,0,0.002,20.61656085,0.213933758,3.88E-05,6.595659315,0.025330551,1000.560451,30.03000069,101.4384422,
Bioreactor 1,0.233333333,NaN,NaN,99.94021012,0,1.516624568,1.52628277,0.008131032,9.86E-07,90.14029393,0,NaN,20.95,0,0.003,20.62012655,0.201090969,4.64E-05,6.597943578,0.04054177,1001.7324,30.03000069,101.4365661,
Bioreactor 1,0.266666667,NaN,NaN,99.96195062,0,1.516624568,1.568480416,0.008132381,1.26E-06,89.94975907,0,NaN,20.95,0,0.003,20.62772403,0.175070556,5.22E-05,6.598724844,0.046635368,1000.699918,30.02000046,101.434632,
Bioreactor 1,0.3,NaN,NaN,100.038011,0,1.516624568,1.626748392,0.008128413,1.53E-06,89.91923655,0,NaN,20.95,0,0.003,20.62384369,0.18828575,5.83E-05,6.594999935,0.043256089,998.3687104,30.02000046,101.4327033,
Bioreactor 1,0.333333333,NaN,NaN,99.81579572,0,1.516624568,1.492020229,0.009728185,1.80E-06,89.76530659,0,NaN,20.95,0,0.003589647,20.61823174,0.20714319,6.47E-05,6.598641278,0.046840525,998.7689415,30.02000046,101.4307825,
Bioreactor 1,0.366666667,NaN,NaN,100.0839306,0,1.516624568,1.620586825,0.010840878,2.13E-06,89.83604936,0,NaN,20.95,0,0.004,20.62845772,0.171800466,7.12E-05,6.596373198,0.063107817,999,30.01000023,101.4288715,
Bioreactor 1,0.4,NaN,NaN,100.0245252,0,1.516624568,1.504552338,0.010844221,2.50E-06,89.4692184,0,NaN,20.95,0,0.004,20.63199997,0.159705118,7.68E-05,6.596961102,0.067901525,1001,30.01000023,101.4269245,
Bioreactor 1,0.433333333,NaN,NaN,99.96504281,0,1.516624568,1.555706321,0.010840221,2.86E-06,89.47800585,0,NaN,20.95,0,0.004,20.63209177,0.15933061,8.26E-05,6.596558097,0.068425275,998,30.01000023,101.4249801,
