Batch ID,Time,Acid flow rate,Acid volume pumped,Air flow,Base flow rate,Base volume pumped,Bioreactor pressure reading,CER - unnormalized,"CER - unnormalized, integrated",DO,Feed#1 flow rate,Feed#1 volume pumped,Inlet O2%,O2 flow,Off-gas CO2%,Off-gas O2%,Optical density,OUR - unnormalized,"OUR - unnormalized, integrated",pH,Reflectance,Reflectance (baseline subtracted),RQ,Stir speed,Temperature,Volume
Bioreactor 6,0,NaN,NaN,99.99714558,0,0.892802662,4.091890225,0,,95.43291162,0,NaN,20.95,0,0,20.71643229,2.728220095,NaN,,6.494567466,6.1347526,0.990228979,NaN,999.5975696,29.87000084,99.8200097
Bioreactor 6,0.033333333,NaN,NaN,99.940289,0,0.892802662,4.113640424,0,0,93.72519032,0,NaN,20.95,0,0,20.71671341,2.595042872,NaN,,6.493214296,5.648186606,0.503662985,NaN,998.9285842,29.88071333,103.5280729
Bioreactor 6,0.066666667,NaN,NaN,100.0260359,0,0.892802662,3.957790127,0.000284578,8.59E-09,92.65445004,0,NaN,20.95,0,0.000104916,20.70910449,2.606890009,NaN,,6.494210252,5.691455001,0.54693138,NaN,998.2098327,29.88999939,103.5259624
Bioreactor 6,0.1,NaN,NaN,100.0572215,0,0.892802662,1.929151345,0.002979618,7.47E-08,91.76191928,0,NaN,20.95,0,0.001,20.71328387,2.618561288,NaN,,6.497431372,5.734078407,0.589554787,NaN,999.1422036,29.91857801,101.2838498
Bioreactor 6,0.133333333,NaN,NaN,100.0750817,0,0.892802662,4.068780094,0.003911222,2.10E-07,91.44905464,0,NaN,20.95,0,0.001,20.70590696,2.586138528,NaN,,6.495424048,5.615680077,0.471156457,NaN,1000.788142,29.94000053,101.2817146
Bioreactor 6,0.166666667,NaN,NaN,100.1615921,0,0.892802662,4.044789981,0.004842826,3.46E-07,91.29501823,0,NaN,20.95,0,0.001,20.70748438,2.582775482,NaN,,6.496258067,5.603396093,0.458872473,NaN,999.7110205,29.95999908,101.2796021
Bioreactor 6,0.2,NaN,NaN,99.97133407,0,0.892802662,3.8952108,0.005425439,4.99E-07,90.97892048,0,NaN,20.95,0,0.002,20.70887901,NaN,NaN,,6.498472728,5.098194122,-0.046329498,NaN,996.878971,29.96999931,101.2774884
Bioreactor 6,0.233333333,NaN,NaN,99.98172435,0,0.892802662,4.013618602,0.00542524,6.79E-07,90.59662992,0,NaN,20.95,0,0.002,20.70766095,2.577405785,NaN,,6.497669877,5.583773775,0.439250155,NaN,1000.660583,29.97999954,101.2753922
Bioreactor 6,0.266666667,NaN,NaN,100.2399945,0,0.892802662,4.127436804,0.005426402,8.60E-07,90.13503293,0,NaN,20.95,0,0.002,20.71549215,2.68975916,NaN,,6.495508054,5.994203111,0.84967949,NaN,1001.238408,29.98999977,101.2732796
Bioreactor 6,0.3,NaN,NaN,100.2084495,0,0.892802662,4.213923971,0.005428946,1.04E-06,89.63404217,0,NaN,20.95,0,0.002,20.717446,2.597051448,NaN,,6.496407867,5.655516624,0.510993004,NaN,998.815213,29.98999977,101.2711676
