Batch ID,Time,Acid flow rate,Acid volume pumped,Air flow,Base flow rate,Base volume pumped,Bioreactor pressure reading,CER - unnormalized,"CER - unnormalized, integrated",DO,Feed#1 flow rate,Feed#1 volume pumped,Feed#2 flow rate,Feed#2 volume pumped,Feed#3 flow rate,Feed#3 volume pumped,Feed#4 flow rate,Feed#4 volume pumped,Inlet O2%,O2 flow,Off-gas CO2%,Off-gas O2%,Optical density,OUR - unnormalized,"OUR - unnormalized, integrated",pH,Reflectance,Reflectance (baseline subtracted),RQ,Stir speed,Temperature,Volume
Bioreactor 13,0,NaN,NaN,100.059952,0,1.190036942,3.290100824,0,,98.9103198,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.95,,0,20.69199944,2.570964132,NaN,,6.60099787,2.646701739,0.41572778,NaN,1003,30,99.99197955
Bioreactor 13,0.033333333,NaN,NaN,100.0088457,0,1.190036942,3.386388373,0,0,98.74085758,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.95,,0,20.69546252,2.663851998,NaN,,6.590389369,2.985997309,0.75502335,NaN,1000.926163,30.01000023,101.3098444
Bioreactor 13,0.066666667,NaN,NaN,99.99147768,0,1.190036942,2.765328653,0,0,98.55632794,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.95,,0,20.71267231,2.71776105,NaN,,6.588330876,3.182970285,0.951996326,NaN,1002.112685,30,101.3076861
Bioreactor 13,0.1,NaN,NaN,99.77930849,0,1.190036942,3.422520856,0,0,98.45671579,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.95,,0.001,20.70018954,2.648838782,NaN,,6.595433507,2.931129932,0.700155973,NaN,998.3777589,30.01000023,99.56557505
Bioreactor 13,0.133333333,NaN,NaN,99.81480495,0,1.190036942,3.522846416,0,0,98.25383702,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.95,,0,20.70000076,2.541849784,NaN,,6.59100008,2.540422947,0.309448988,NaN,1001.553047,30.01000023,99.56346295
Bioreactor 13,0.166666667,NaN,NaN,99.97730022,0,1.190036942,3.463626093,0,0,98.15352964,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.95,,0,20.69789315,2.704396621,NaN,,6.593213706,3.134129047,0.903155088,NaN,1000.213735,30.01000023,99.5613503
Bioreactor 13,0.2,NaN,NaN,100.0857288,0,1.190036942,3.398309017,0,0,98.28081892,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.95,,0,20.69506152,2.574981128,NaN,,6.590556834,2.66136837,0.430394411,NaN,1000.938145,29.98999977,99.55923746
Bioreactor 13,0.233333333,NaN,NaN,99.93304684,0,1.190036942,3.544070935,0,0,97.99982893,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.95,,0,20.69700938,2.680611221,NaN,,6.598999977,2.519049306,0.288075347,NaN,999.973366,30,99.55712206
Bioreactor 13,0.266666667,NaN,NaN,100.0195117,0,1.190036942,3.576154942,0,0,97.90876962,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.95,,0,20.69302222,2.597032059,NaN,,6.600914099,2.370445855,0.139471896,NaN,997.1286093,30,99.55522407
Bioreactor 13,0.3,NaN,NaN,100.1547805,0,1.190036942,3.483969634,0,0,97.80156253,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.95,,0,20.69393936,2.623677891,NaN,,6.593999863,2.839217901,0.608243942,NaN,996.3654922,30,99.55311139
Bioreactor 13,0.333333333,NaN,NaN,99.84910448,0,1.190036942,3.462691901,0,0,97.61063551,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.95,,0,20.69373359,2.535026515,NaN,,6.595733542,2.515484571,0.284510612,NaN,1002.088876,30.01000023,99.55100122
Bioreactor 13,0.366666667,NaN,NaN,100.0166421,0,1.190036942,3.515777416,0,0,97.51720988,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.95,,0,20.69286994,2.647357859,NaN,,6.593869196,2.925724746,0.694750787,NaN,998.3920285,30.01000023,99.54888955
