,project,Strain Type,Strain Description,Short_genotype,Culture Type,Media version,Growth Rate (1/hr),mu_set
DDB2__PD-005_BW25113_Batch_6h__1,DDB2,WT,Escherichia coli BW25113,BW25113,Batch,1,max,none
DDB2__PD-005_BW25113_Batch_6h__2,DDB2,WT,Escherichia coli BW25113,BW25113,Batch,1,max,none
DDB2__PD-003_BW25113_Batch_9h__1,DDB2,WT,Escherichia coli BW25113,BW25113,Batch,1,max,none
DDB2__PD-003_BW25113_Batch_9h__2,DDB2,WT,Escherichia coli BW25113,BW25113,Batch,1,max,none
DDB2__PD-003_BW25113_Fed-batch_6h__1,DDB2,WT,Escherichia coli BW25113,BW25113,Fed-batch,1,0.11,0.11
DDB2__PD-003_BW25113_Fed-batch_6h__2,DDB2,WT,Escherichia coli BW25113,BW25113,Fed-batch,1,0.11,0.11
DDB2__PD-005_BW25113_Fed-batch_6h__1,DDB2,WT,Escherichia coli BW25113,BW25113,Fed-batch,1,0.11,0.11
DDB2__PD-005_BW25113_Fed-batch_6h__2,DDB2,WT,Escherichia coli BW25113,BW25113,Fed-batch,1,0.11,0.11
DDB2__PD-005_BW25113_Fed-batch_6h__3,DDB2,WT,Escherichia coli BW25113,BW25113,Fed-batch,1,0.11,0.11
DDB2__PD-005_BW25113_Fed-batch_15h__1,DDB2,WT,Escherichia coli BW25113,BW25113,Fed-batch,1,0.11,0.11
DDB2__PD-005_BW25113_Fed-batch_15h__2,DDB2,WT,Escherichia coli BW25113,BW25113,Fed-batch,1,0.11,0.11
DDB2__PD-003_BW25113_Fed-batch_21h__1,DDB2,WT,Escherichia coli BW25113,BW25113,Fed-batch,1,0.11,0.11
DDB2__PD-003_BW25113_Fed-batch_21h__2,DDB2,WT,Escherichia coli BW25113,BW25113,Fed-batch,1,0.11,0.11
DDB2__PD-004_del-basS_Batch_6h__1,DDB2,TF KO,Escherichia coli BW25113 del-basS,BW25113 del-basS,Batch,1,max,none
DDB2__PD-004_del-basS_Batch_6h__2,DDB2,TF KO,Escherichia coli BW25113 del-basS,BW25113 del-basS,Batch,1,max,none
DDB2__PD-004_del-basS_Fed-batch_6h__1,DDB2,TF KO,Escherichia coli BW25113 del-basS,BW25113 del-basS,Fed-batch,1,0.11,0.11
DDB2__PD-004_del-basS_Fed-batch_6h__2,DDB2,TF KO,Escherichia coli BW25113 del-basS,BW25113 del-basS,Fed-batch,1,0.11,0.11
DDB2__PD-004_del-basS_Fed-batch_15h__1,DDB2,TF KO,Escherichia coli BW25113 del-basS,BW25113 del-basS,Fed-batch,1,0.11,0.11
DDB2__PD-004_del-basS_Fed-batch_15h__2,DDB2,TF KO,Escherichia coli BW25113 del-basS,BW25113 del-basS,Fed-batch,1,0.11,0.11
DDB2__PD-004_del-kdpE_Batch_6h__1,DDB2,TF KO,Escherichia coli BW25113 del-kdpE,BW25113 del-kdpE,Batch,1,max,none
DDB2__PD-004_del-kdpE_Batch_6h__2,DDB2,TF KO,Escherichia coli BW25113 del-kdpE,BW25113 del-kdpE,Batch,1,max,none
DDB2__PD-004_del-kdpE_Fed-batch_6h__1,DDB2,TF KO,Escherichia coli BW25113 del-kdpE,BW25113 del-kdpE,Fed-batch,1,0.11,0.11
DDB2__PD-004_del-kdpE_Fed-batch_6h__2,DDB2,TF KO,Escherichia coli BW25113 del-kdpE,BW25113 del-kdpE,Fed-batch,1,0.11,0.11
DDB2__PD-004_del-kdpE_Fed-batch_15h__1,DDB2,TF KO,Escherichia coli BW25113 del-kdpE,BW25113 del-kdpE,Fed-batch,1,0.11,0.11
DDB2__PD-004_del-kdpE_Fed-batch_15h__2,DDB2,TF KO,Escherichia coli BW25113 del-kdpE,BW25113 del-kdpE,Fed-batch,1,0.11,0.11
DDB2__PD-005_del-phoB_Batch_6h__1,DDB2,TF KO,Escherichia coli BW25113 del-phoB,BW25113 del-phoB,Batch,1,max,none
DDB2__PD-005_del-phoB_Batch_6h__2,DDB2,TF KO,Escherichia coli BW25113 del-phoB,BW25113 del-phoB,Batch,1,max,none
DDB2__PD-005_del-phoB_Batch_6h__3,DDB2,TF KO,Escherichia coli BW25113 del-phoB,BW25113 del-phoB,Batch,1,max,none
DDB2__PD-003_del-phoB_Batch_9h__1,DDB2,TF KO,Escherichia coli BW25113 del-phoB,BW25113 del-phoB,Batch,1,max,none
DDB2__PD-003_del-phoB_Batch_9h__2,DDB2,TF KO,Escherichia coli BW25113 del-phoB,BW25113 del-phoB,Batch,1,max,none
DDB2__PD-003_del-phoB_Fed-batch_6h__1,DDB2,TF KO,Escherichia coli BW25113 del-phoB,BW25113 del-phoB,Fed-batch,1,0.11,0.11
DDB2__PD-003_del-phoB_Fed-batch_6h__2,DDB2,TF KO,Escherichia coli BW25113 del-phoB,BW25113 del-phoB,Fed-batch,1,0.11,0.11
DDB2__PD-005_del-phoB_Fed-batch_6h__1,DDB2,TF KO,Escherichia coli BW25113 del-phoB,BW25113 del-phoB,Fed-batch,1,0.11,0.11
DDB2__PD-005_del-phoB_Fed-batch_6h__2,DDB2,TF KO,Escherichia coli BW25113 del-phoB,BW25113 del-phoB,Fed-batch,1,0.11,0.11
DDB2__PD-005_del-phoB_Fed-batch_15h__1,DDB2,TF KO,Escherichia coli BW25113 del-phoB,BW25113 del-phoB,Fed-batch,1,0.11,0.11
DDB2__PD-005_del-phoB_Fed-batch_15h__2,DDB2,TF KO,Escherichia coli BW25113 del-phoB,BW25113 del-phoB,Fed-batch,1,0.11,0.11
DDB2__PD-003_del-phoB_Fed-batch_21h__1,DDB2,TF KO,Escherichia coli BW25113 del-phoB,BW25113 del-phoB,Fed-batch,1,0.11,0.11
DDB2__PD-003_del-phoB_Fed-batch_21h__2,DDB2,TF KO,Escherichia coli BW25113 del-phoB,BW25113 del-phoB,Fed-batch,1,0.11,0.11
DDB2__PD-004_del-qseB_Batch_6h__1,DDB2,TF KO,Escherichia coli BW25113 del-qseB,BW25113 del-qseB,Batch,1,max,none
DDB2__PD-004_del-qseB_Fed-batch_6h__1,DDB2,TF KO,Escherichia coli BW25113 del-qseB,BW25113 del-qseB,Fed-batch,1,0.11,0.11
DDB2__PD-004_del-qseB_Fed-batch_6h__2,DDB2,TF KO,Escherichia coli BW25113 del-qseB,BW25113 del-qseB,Fed-batch,1,0.11,0.11
DDB2__PD-004_del-qseB_Fed-batch_15h__1,DDB2,TF KO,Escherichia coli BW25113 del-qseB,BW25113 del-qseB,Fed-batch,1,0.11,0.11
DDB2__PD-004_del-qseB_Fed-batch_15h__2,DDB2,TF KO,Escherichia coli BW25113 del-qseB,BW25113 del-qseB,Fed-batch,1,0.11,0.11
